percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
1,2.501998e-07,6.260004e-14,1.276965e-02,1.866184e-07,3.499465e-14,9.976856e-03,2.387678e-07,5.720015e-14,1.392879e-02
2,4.348159e-07,1.890706e-13,2.240094e-02,5.065277e-07,2.566168e-13,2.290656e-02,4.314398e-07,1.861486e-13,2.571297e-02
3,6.301701e-07,3.971177e-13,3.224319e-02,6.912835e-07,4.779311e-13,3.186599e-02,6.315135e-07,3.988096e-13,3.342875e-02
4,8.052215e-07,6.483853e-13,4.322720e-02,7.940549e-07,6.305234e-13,4.794009e-02,8.100132e-07,6.562603e-13,4.579129e-02
5,1.041428e-06,1.084630e-12,5.423676e-02,1.043873e-06,1.090540e-12,5.665510e-02,9.351585e-07,8.745311e-13,5.819841e-02
6,1.243474e-06,1.546243e-12,6.384842e-02,1.326920e-06,1.760718e-12,6.754155e-02,1.171818e-06,1.373159e-12,7.287016e-02
7,1.406139e-06,1.977226e-12,7.314695e-02,1.568710e-06,2.460866e-12,7.490107e-02,1.487820e-06,2.213610e-12,8.897221e-02
8,1.605982e-06,2.579185e-12,8.586113e-02,1.689047e-06,2.852879e-12,8.427346e-02,1.698402e-06,2.884613e-12,1.003060e-01
9,1.838710e-06,3.380857e-12,9.556502e-02,1.901975e-06,3.617520e-12,9.687158e-02,1.876210e-06,3.520165e-12,1.125938e-01
10,2.040807e-06,4.164894e-12,1.061786e-01,2.120342e-06,4.495888e-12,1.090223e-01,2.233800e-06,4.989866e-12,1.250207e-01
11,2.260297e-06,5.108941e-12,1.166293e-01,2.244450e-06,5.037587e-12,1.171007e-01,2.433776e-06,5.923269e-12,1.370484e-01
12,2.489286e-06,6.196543e-12,1.283268e-01,2.461066e-06,6.056849e-12,1.264391e-01,2.614278e-06,6.834494e-12,1.482428e-01
13,2.703629e-06,7.309612e-12,1.406599e-01,2.671117e-06,7.134906e-12,1.381601e-01,2.853945e-06,8.145225e-12,1.588739e-01
14,2.896641e-06,8.390531e-12,1.520610e-01,2.840972e-06,8.071151e-12,1.476172e-01,3.032805e-06,9.197909e-12,1.757620e-01
15,3.096927e-06,9.590960e-12,1.624673e-01,3.153924e-06,9.947377e-12,1.600453e-01,3.272062e-06,1.070641e-11,1.864521e-01
16,3.374508e-06,1.138731e-11,1.723539e-01,3.488902e-06,1.217247e-11,1.754902e-01,3.538714e-06,1.252250e-11,1.962977e-01
17,3.583212e-06,1.283941e-11,1.840322e-01,3.656503e-06,1.337004e-11,1.909885e-01,3.779011e-06,1.428098e-11,2.088138e-01
18,3.847275e-06,1.480153e-11,1.948384e-01,3.810236e-06,1.451790e-11,1.974757e-01,3.984617e-06,1.587720e-11,2.213630e-01
19,4.050219e-06,1.640428e-11,2.060406e-01,4.095375e-06,1.677218e-11,2.102186e-01,4.158826e-06,1.729585e-11,2.337522e-01
20,4.251860e-06,1.807832e-11,2.180594e-01,4.318822e-06,1.865235e-11,2.173396e-01,4.400942e-06,1.936838e-11,2.480128e-01
21,4.432164e-06,1.964408e-11,2.289720e-01,4.456565e-06,1.986098e-11,2.305449e-01,4.666224e-06,2.177365e-11,2.590239e-01
22,4.700404e-06,2.209380e-11,2.408740e-01,4.690560e-06,2.200139e-11,2.431217e-01,4.814290e-06,2.317753e-11,2.733954e-01
23,4.939958e-06,2.440319e-11,2.534658e-01,4.965989e-06,2.466108e-11,2.561611e-01,4.990492e-06,2.490506e-11,2.870942e-01
24,5.163979e-06,2.666668e-11,2.651485e-01,5.164212e-06,2.666909e-11,2.659109e-01,5.216645e-06,2.721339e-11,2.969371e-01
25,5.347887e-06,2.859990e-11,2.764840e-01,5.461741e-06,2.983062e-11,2.794911e-01,5.377107e-06,2.891335e-11,3.048296e-01
26,5.569253e-06,3.101658e-11,2.884281e-01,5.678022e-06,3.224057e-11,2.871432e-01,5.575642e-06,3.108778e-11,3.130689e-01
27,5.817935e-06,3.384837e-11,2.966672e-01,5.857577e-06,3.431121e-11,3.012620e-01,5.778696e-06,3.339333e-11,3.293732e-01
28,6.026546e-06,3.631926e-11,3.073724e-01,6.254469e-06,3.911838e-11,3.191687e-01,6.046519e-06,3.656040e-11,3.442083e-01
29,6.259452e-06,3.918074e-11,3.193615e-01,6.470415e-06,4.186628e-11,3.358515e-01,6.325413e-06,4.001084e-11,3.550895e-01
30,6.452529e-06,4.163513e-11,3.304339e-01,6.884080e-06,4.739057e-11,3.518337e-01,6.618816e-06,4.380880e-11,3.682270e-01
31,6.715050e-06,4.509190e-11,3.421245e-01,7.095337e-06,5.034381e-11,3.651222e-01,6.782296e-06,4.599955e-11,3.828380e-01
32,6.944006e-06,4.821923e-11,3.545814e-01,7.287813e-06,5.311223e-11,3.805005e-01,6.968761e-06,4.856363e-11,3.992216e-01
33,7.250514e-06,5.256996e-11,3.676493e-01,7.510325e-06,5.640499e-11,3.941906e-01,7.113831e-06,5.060659e-11,4.124134e-01
34,7.464900e-06,5.572474e-11,3.782686e-01,7.892065e-06,6.228471e-11,4.131973e-01,7.296246e-06,5.323523e-11,4.262002e-01
35,7.724599e-06,5.966943e-11,3.921957e-01,8.193008e-06,6.712540e-11,4.303213e-01,7.489207e-06,5.608827e-11,4.415088e-01
36,7.982356e-06,6.371802e-11,4.055822e-01,8.481229e-06,7.193177e-11,4.479518e-01,7.729614e-06,5.974711e-11,4.538940e-01
37,8.238330e-06,6.787009e-11,4.168176e-01,8.735051e-06,7.630118e-11,4.616950e-01,8.052222e-06,6.483832e-11,4.695333e-01
38,8.474588e-06,7.181865e-11,4.282177e-01,8.999971e-06,8.099953e-11,4.789040e-01,8.295728e-06,6.881911e-11,4.819777e-01
39,8.666250e-06,7.510389e-11,4.440191e-01,9.178538e-06,8.424578e-11,4.953924e-01,8.505769e-06,7.234813e-11,4.992326e-01
40,8.886121e-06,7.896315e-11,4.559122e-01,9.582611e-06,9.182653e-11,5.087861e-01,8.685794e-06,7.544303e-11,5.106749e-01
41,9.165928e-06,8.401423e-11,4.685367e-01,9.995177e-06,9.990436e-11,5.210044e-01,8.936478e-06,7.986064e-11,5.288188e-01
42,9.411396e-06,8.857438e-11,4.795573e-01,1.038054e-05,1.077557e-10,5.363305e-01,9.176154e-06,8.420179e-11,5.416689e-01
43,9.668581e-06,9.348146e-11,4.916544e-01,1.067332e-05,1.139198e-10,5.471376e-01,9.408491e-06,8.851970e-11,5.551416e-01
44,9.928839e-06,9.858185e-11,5.092428e-01,1.083461e-05,1.173887e-10,5.647579e-01,9.644460e-06,9.301563e-11,5.776509e-01
45,1.019670e-05,1.039727e-10,5.242426e-01,1.119892e-05,1.254159e-10,5.792982e-01,1.005473e-05,1.010977e-10,5.947343e-01
46,1.048934e-05,1.100264e-10,5.376065e-01,1.147408e-05,1.316545e-10,5.922443e-01,1.044558e-05,1.091103e-10,6.129044e-01
47,1.076508e-05,1.158870e-10,5.538257e-01,1.184023e-05,1.401949e-10,6.129559e-01,1.077355e-05,1.160694e-10,6.291983e-01
48,1.102083e-05,1.214588e-10,5.710644e-01,1.232039e-05,1.517921e-10,6.327740e-01,1.112569e-05,1.237810e-10,6.443040e-01
49,1.136528e-05,1.291697e-10,5.849746e-01,1.274603e-05,1.624620e-10,6.440144e-01,1.136183e-05,1.290917e-10,6.572131e-01
50,1.169764e-05,1.368349e-10,5.998625e-01,1.303642e-05,1.699483e-10,6.745645e-01,1.173560e-05,1.377242e-10,6.818536e-01
51,1.199645e-05,1.439148e-10,6.150614e-01,1.327562e-05,1.762421e-10,6.858656e-01,1.191906e-05,1.420639e-10,6.956253e-01
52,1.236273e-05,1.528370e-10,6.304723e-01,1.358154e-05,1.844583e-10,7.011455e-01,1.219127e-05,1.486271e-10,7.099412e-01
53,1.260735e-05,1.589453e-10,6.452174e-01,1.385138e-05,1.918608e-10,7.260811e-01,1.256071e-05,1.577716e-10,7.281653e-01
54,1.293414e-05,1.672920e-10,6.609870e-01,1.404289e-05,1.972028e-10,7.567740e-01,1.297676e-05,1.683963e-10,7.449524e-01
55,1.326082e-05,1.758494e-10,6.765141e-01,1.431396e-05,2.048897e-10,7.718201e-01,1.330501e-05,1.770234e-10,7.633103e-01
56,1.361566e-05,1.853861e-10,6.950805e-01,1.469348e-05,2.158984e-10,7.860329e-01,1.356504e-05,1.840103e-10,7.815035e-01
57,1.389600e-05,1.930989e-10,7.144680e-01,1.513684e-05,2.291240e-10,7.967659e-01,1.388529e-05,1.928015e-10,7.961649e-01
58,1.424458e-05,2.029081e-10,7.297769e-01,1.545316e-05,2.388002e-10,8.070935e-01,1.430941e-05,2.047594e-10,8.148155e-01
59,1.456911e-05,2.122589e-10,7.468446e-01,1.594947e-05,2.543863e-10,8.187785e-01,1.474776e-05,2.174965e-10,8.280016e-01
60,1.493182e-05,2.229594e-10,7.668587e-01,1.636478e-05,2.678061e-10,8.344824e-01,1.509443e-05,2.278419e-10,8.493329e-01
61,1.524847e-05,2.325157e-10,7.833884e-01,1.670239e-05,2.789699e-10,8.602239e-01,1.530744e-05,2.343178e-10,8.705060e-01
62,1.555897e-05,2.420816e-10,8.039355e-01,1.715262e-05,2.942131e-10,8.754208e-01,1.566271e-05,2.453206e-10,8.845235e-01
63,1.593868e-05,2.540416e-10,8.213235e-01,1.760620e-05,3.099814e-10,8.950820e-01,1.596745e-05,2.549597e-10,9.024733e-01
64,1.626248e-05,2.644681e-10,8.413405e-01,1.808212e-05,3.269638e-10,9.150426e-01,1.639050e-05,2.686486e-10,9.316432e-01
65,1.666655e-05,2.777740e-10,8.575170e-01,1.835926e-05,3.370622e-10,9.331247e-01,1.681610e-05,2.827812e-10,9.577529e-01
66,1.706000e-05,2.910437e-10,8.756540e-01,1.870746e-05,3.499692e-10,9.545308e-01,1.726083e-05,2.979364e-10,9.899891e-01
67,1.740083e-05,3.027889e-10,8.962947e-01,1.924241e-05,3.702704e-10,9.811973e-01,1.772439e-05,3.141541e-10,1.015590e+00
68,1.775340e-05,3.151831e-10,9.168663e-01,1.964276e-05,3.858385e-10,1.008525e+00,1.818692e-05,3.307640e-10,1.030821e+00
69,1.821831e-05,3.319068e-10,9.365800e-01,2.011340e-05,4.045489e-10,1.030819e+00,1.862861e-05,3.470258e-10,1.054321e+00
70,1.862124e-05,3.467504e-10,9.577719e-01,2.075825e-05,4.309050e-10,1.059672e+00,1.907242e-05,3.637570e-10,1.072264e+00
71,1.904584e-05,3.627440e-10,9.773498e-01,2.106805e-05,4.438627e-10,1.084498e+00,1.965300e-05,3.862405e-10,1.093171e+00
72,1.951182e-05,3.807110e-10,1.001827e+00,2.142086e-05,4.588535e-10,1.115104e+00,2.011972e-05,4.048034e-10,1.115012e+00
73,1.990985e-05,3.964022e-10,1.022513e+00,2.196979e-05,4.826718e-10,1.127617e+00,2.053278e-05,4.215949e-10,1.148714e+00
74,2.033123e-05,4.133588e-10,1.039403e+00,2.245826e-05,5.043734e-10,1.148481e+00,2.106962e-05,4.439289e-10,1.174049e+00
75,2.081064e-05,4.330826e-10,1.061756e+00,2.277596e-05,5.187443e-10,1.182531e+00,2.143579e-05,4.594929e-10,1.195978e+00
76,2.114974e-05,4.473115e-10,1.087465e+00,2.332970e-05,5.442751e-10,1.195536e+00,2.192687e-05,4.807878e-10,1.227319e+00
77,2.168726e-05,4.703373e-10,1.112258e+00,2.375901e-05,5.644905e-10,1.222663e+00,2.242946e-05,5.030806e-10,1.267174e+00
