percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
1,3.666282e-05,1.344169e-09,7.475472e-02,4.354715e-05,1.896372e-09,1.003080e-01,4.056215e-05,1.646061e-09,9.757504e-02
2,7.023513e-05,4.933159e-09,1.436723e-01,8.648202e-05,7.479188e-09,1.863662e-01,9.072125e-05,8.230478e-09,1.631734e-01
3,1.040134e-04,1.081885e-08,2.078820e-01,1.405264e-04,1.975053e-08,2.864561e-01,1.156680e-04,1.337922e-08,2.522753e-01
4,1.365893e-04,1.865686e-08,2.732240e-01,1.807263e-04,3.266449e-08,3.685337e-01,1.414157e-04,2.000131e-08,3.163623e-01
5,1.697943e-04,2.883061e-08,3.305174e-01,2.142936e-04,4.593480e-08,4.315535e-01,1.785997e-04,3.189980e-08,4.093628e-01
6,2.014318e-04,4.057479e-08,3.954688e-01,2.739029e-04,7.503068e-08,4.921653e-01,2.188790e-04,4.790804e-08,4.845550e-01
7,2.435912e-04,5.933696e-08,4.680287e-01,3.241789e-04,1.050931e-07,6.165965e-01,2.717095e-04,7.382773e-08,5.653225e-01
8,2.805190e-04,7.869107e-08,5.324313e-01,3.634284e-04,1.320804e-07,7.008081e-01,3.118484e-04,9.725011e-08,6.285102e-01
9,3.169303e-04,1.004449e-07,6.089035e-01,4.042027e-04,1.633799e-07,8.156442e-01,3.555639e-04,1.264259e-07,7.188327e-01
10,3.528379e-04,1.244946e-07,6.943105e-01,4.435293e-04,1.967183e-07,9.279302e-01,4.040472e-04,1.632604e-07,8.133215e-01
11,3.851932e-04,1.483738e-07,7.714440e-01,4.854390e-04,2.356511e-07,1.000645e+00,4.447501e-04,1.978151e-07,8.910474e-01
12,4.180576e-04,1.747722e-07,8.462050e-01,5.234998e-04,2.740565e-07,1.132858e+00,4.902001e-04,2.402962e-07,1.000547e+00
13,4.610196e-04,2.125391e-07,9.205581e-01,5.969489e-04,3.563482e-07,1.259593e+00,5.422520e-04,2.940373e-07,1.097354e+00
14,4.990183e-04,2.490192e-07,1.008942e+00,6.547630e-04,4.287175e-07,1.329556e+00,5.750157e-04,3.306430e-07,1.185912e+00
15,5.346231e-04,2.858225e-07,1.093696e+00,7.068060e-04,4.995749e-07,1.443429e+00,6.131889e-04,3.760007e-07,1.280863e+00
16,5.722064e-04,3.274209e-07,1.166666e+00,7.606286e-04,5.785559e-07,1.526715e+00,6.605685e-04,4.363529e-07,1.365764e+00
17,6.044522e-04,3.653625e-07,1.234484e+00,8.262591e-04,6.827042e-07,1.633577e+00,7.042233e-04,4.959343e-07,1.450199e+00
18,6.416801e-04,4.117533e-07,1.306861e+00,8.612156e-04,7.416972e-07,1.740359e+00,7.470554e-04,5.580921e-07,1.558275e+00
19,6.716657e-04,4.511351e-07,1.376785e+00,9.052664e-04,8.195074e-07,1.861063e+00,7.968479e-04,6.349667e-07,1.633447e+00
20,7.083632e-04,5.017785e-07,1.457351e+00,9.569727e-04,9.158059e-07,1.914619e+00,8.496672e-04,7.219343e-07,1.740379e+00
21,7.431626e-04,5.522907e-07,1.517548e+00,9.847854e-04,9.698030e-07,2.008683e+00,8.979307e-04,8.062804e-07,1.835782e+00
22,7.878661e-04,6.207331e-07,1.595485e+00,1.027053e-03,1.054838e-06,2.098836e+00,9.262145e-04,8.578738e-07,1.918445e+00
23,8.202161e-04,6.727545e-07,1.674976e+00,1.079480e-03,1.165276e-06,2.189512e+00,9.737211e-04,9.481330e-07,2.012267e+00
24,8.601975e-04,7.399398e-07,1.748106e+00,1.119603e-03,1.253519e-06,2.264807e+00,1.027562e-03,1.055883e-06,2.072821e+00
25,8.986741e-04,8.076152e-07,1.824627e+00,1.150925e-03,1.324628e-06,2.358284e+00,1.080664e-03,1.167839e-06,2.231858e+00
26,9.408084e-04,8.851210e-07,1.893275e+00,1.182822e-03,1.399072e-06,2.439902e+00,1.130607e-03,1.278272e-06,2.348062e+00
27,9.896125e-04,9.793329e-07,1.962223e+00,1.220883e-03,1.490555e-06,2.512959e+00,1.177455e-03,1.386402e-06,2.413081e+00
28,1.027616e-03,1.055996e-06,2.032202e+00,1.259991e-03,1.587577e-06,2.585774e+00,1.233228e-03,1.520852e-06,2.482193e+00
29,1.071281e-03,1.147643e-06,2.108235e+00,1.291699e-03,1.668488e-06,2.655577e+00,1.269582e-03,1.611838e-06,2.562034e+00
30,1.107624e-03,1.226831e-06,2.195584e+00,1.338549e-03,1.791716e-06,2.711875e+00,1.306095e-03,1.705886e-06,2.640042e+00
31,1.149427e-03,1.321182e-06,2.280530e+00,1.370750e-03,1.878956e-06,2.788106e+00,1.336284e-03,1.785661e-06,2.736657e+00
32,1.192623e-03,1.422349e-06,2.344535e+00,1.419834e-03,2.015935e-06,2.881377e+00,1.373138e-03,1.885511e-06,2.808138e+00
33,1.226598e-03,1.504543e-06,2.438010e+00,1.450778e-03,2.104758e-06,2.973206e+00,1.436380e-03,2.063204e-06,2.919059e+00
34,1.263017e-03,1.595211e-06,2.521944e+00,1.493072e-03,2.229265e-06,3.035149e+00,1.489457e-03,2.218487e-06,3.002714e+00
35,1.299475e-03,1.688636e-06,2.603735e+00,1.524300e-03,2.323491e-06,3.126251e+00,1.534294e-03,2.354058e-06,3.105475e+00
36,1.353074e-03,1.830809e-06,2.672091e+00,1.554444e-03,2.416295e-06,3.249930e+00,1.582514e-03,2.504361e-06,3.175182e+00
37,1.389299e-03,1.930151e-06,2.759286e+00,1.609635e-03,2.590952e-06,3.391675e+00,1.624212e-03,2.638065e-06,3.265091e+00
38,1.426532e-03,2.034993e-06,2.843752e+00,1.644740e-03,2.705171e-06,3.465310e+00,1.676541e-03,2.810796e-06,3.372091e+00
39,1.474932e-03,2.175426e-06,2.924143e+00,1.693978e-03,2.869562e-06,3.556883e+00,1.725539e-03,2.977487e-06,3.450535e+00
