percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
1,4.260153e-05,1.815000e-09,7.839771e-02,5.381837e-05,2.904336e-09,9.302470e-02,5.059227e-05,2.560951e-09,8.738638e-02
2,8.687198e-05,7.547870e-09,1.492855e-01,9.105802e-05,8.291966e-09,1.777469e-01,1.026052e-04,1.053672e-08,1.916658e-01
3,1.278019e-04,1.633332e-08,2.235887e-01,1.169623e-04,1.368077e-08,2.320016e-01,1.498891e-04,2.246674e-08,2.711757e-01
4,1.762243e-04,3.105505e-08,3.155308e-01,1.760465e-04,3.099237e-08,2.954751e-01,2.042872e-04,4.173326e-08,3.885477e-01
5,2.191477e-04,4.802570e-08,3.801116e-01,2.217427e-04,4.916988e-08,4.095833e-01,2.481155e-04,6.156206e-08,4.571255e-01
6,2.549991e-04,6.502456e-08,4.545270e-01,2.745666e-04,7.538706e-08,4.808968e-01,3.229006e-04,1.042648e-07,6.035430e-01
7,2.970392e-04,8.823375e-08,5.218954e-01,3.069137e-04,9.419785e-08,5.321875e-01,3.698336e-04,1.367769e-07,6.708744e-01
8,3.343152e-04,1.117666e-07,5.919258e-01,3.530124e-04,1.246181e-07,6.379412e-01,4.318498e-04,1.864991e-07,7.957923e-01
9,3.735684e-04,1.395544e-07,6.626523e-01,3.838897e-04,1.473803e-07,7.203812e-01,4.872699e-04,2.374356e-07,8.730785e-01
10,4.194707e-04,1.759557e-07,7.262651e-01,4.496239e-04,2.021779e-07,7.991432e-01,5.364537e-04,2.877827e-07,9.465382e-01
11,4.625291e-04,2.139332e-07,7.997510e-01,4.866920e-04,2.368920e-07,8.743337e-01,5.803239e-04,3.367759e-07,1.039066e+00
12,4.996876e-04,2.496877e-07,8.708423e-01,5.434439e-04,2.953312e-07,9.423305e-01,6.229053e-04,3.880123e-07,1.108365e+00
13,5.532277e-04,3.060608e-07,9.464031e-01,6.005250e-04,3.606332e-07,1.020187e+00,6.547273e-04,4.286678e-07,1.212658e+00
14,5.938627e-04,3.526729e-07,1.006017e+00,6.368269e-04,4.055500e-07,1.069185e+00,6.913754e-04,4.780001e-07,1.275439e+00
15,6.396458e-04,4.091468e-07,1.091483e+00,6.770216e-04,4.583585e-07,1.191969e+00,7.330690e-04,5.373901e-07,1.356920e+00
16,6.773779e-04,4.588408e-07,1.171744e+00,7.278706e-04,5.297960e-07,1.290080e+00,7.801062e-04,6.085661e-07,1.442380e+00
17,7.202980e-04,5.188292e-07,1.233385e+00,7.743099e-04,5.995615e-07,1.362541e+00,8.142495e-04,6.630023e-07,1.517818e+00
18,7.555349e-04,5.708330e-07,1.314343e+00,8.095494e-04,6.553711e-07,1.435974e+00,8.472852e-04,7.178935e-07,1.593089e+00
19,7.999410e-04,6.399061e-07,1.382734e+00,8.631627e-04,7.450520e-07,1.553661e+00,8.905897e-04,7.931503e-07,1.665119e+00
20,8.429915e-04,7.106350e-07,1.458422e+00,9.024508e-04,8.144282e-07,1.659679e+00,9.276889e-04,8.606075e-07,1.730502e+00
21,8.841762e-04,7.817675e-07,1.532291e+00,9.566239e-04,9.151297e-07,1.731017e+00,1.001998e-03,1.004001e-06,1.801822e+00
22,9.292886e-04,8.635773e-07,1.603504e+00,9.869695e-04,9.741088e-07,1.809727e+00,1.041474e-03,1.084677e-06,1.889371e+00
23,9.738693e-04,9.484214e-07,1.672598e+00,1.036630e-03,1.074602e-06,1.856137e+00,1.080486e-03,1.167450e-06,1.969787e+00
24,1.021213e-03,1.042876e-06,1.751416e+00,1.082860e-03,1.172587e-06,1.895891e+00,1.144433e-03,1.309729e-06,2.056450e+00
25,1.054861e-03,1.112731e-06,1.839188e+00,1.113765e-03,1.240472e-06,1.970816e+00,1.177503e-03,1.386515e-06,2.131551e+00
26,1.102160e-03,1.214756e-06,1.901244e+00,1.150072e-03,1.322673e-06,2.057853e+00,1.219176e-03,1.486390e-06,2.227696e+00
27,1.145367e-03,1.311865e-06,1.972355e+00,1.210073e-03,1.464277e-06,2.135203e+00,1.263355e-03,1.596066e-06,2.309727e+00
28,1.187481e-03,1.410111e-06,2.037293e+00,1.268077e-03,1.608025e-06,2.222901e+00,1.305392e-03,1.704049e-06,2.404154e+00
29,1.222526e-03,1.494569e-06,2.119527e+00,1.316862e-03,1.734124e-06,2.312308e+00,1.357578e-03,1.843019e-06,2.474976e+00
30,1.271239e-03,1.616049e-06,2.210314e+00,1.396255e-03,1.949531e-06,2.419156e+00,1.398492e-03,1.955781e-06,2.536378e+00
31,1.319561e-03,1.741240e-06,2.291800e+00,1.448465e-03,2.098053e-06,2.530314e+00,1.434287e-03,2.057184e-06,2.628920e+00
32,1.368881e-03,1.873835e-06,2.378496e+00,1.500941e-03,2.252827e-06,2.599121e+00,1.478455e-03,2.185829e-06,2.709577e+00
33,1.415146e-03,2.002642e-06,2.465875e+00,1.551671e-03,2.407684e-06,2.700422e+00,1.529806e-03,2.340315e-06,2.796689e+00
34,1.473209e-03,2.170345e-06,2.536272e+00,1.603524e-03,2.571289e-06,2.806675e+00,1.591929e-03,2.534238e-06,2.870725e+00
35,1.523849e-03,2.322115e-06,2.616792e+00,1.652099e-03,2.729432e-06,2.930341e+00,1.638185e-03,2.683650e-06,2.963953e+00
36,1.575864e-03,2.483346e-06,2.709066e+00,1.704109e-03,2.903987e-06,3.058519e+00,1.707188e-03,2.914490e-06,3.037810e+00
37,1.612163e-03,2.599068e-06,2.790332e+00,1.778291e-03,3.162318e-06,3.193543e+00,1.759937e-03,3.097378e-06,3.137835e+00
38,1.656996e-03,2.745635e-06,2.877428e+00,1.831434e-03,3.354154e-06,3.309125e+00,1.807379e-03,3.266621e-06,3.242542e+00
