percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
1,2.981138e-04,8.887186e-08,2.312290e-02,2.854776e-04,8.149799e-08,2.280950e-02,3.607512e-04,1.303101e-07,2.593873e-02
2,5.419731e-04,2.937350e-07,4.246391e-02,5.001974e-04,2.502647e-07,3.980205e-02,9.271479e-04,8.596413e-07,6.906511e-02
3,7.565880e-04,5.724266e-07,6.109935e-02,7.947540e-04,6.327997e-07,6.567797e-02,1.214185e-03,1.474258e-06,9.315864e-02
4,1.053038e-03,1.108901e-06,8.072901e-02,1.169324e-03,1.367319e-06,8.585070e-02,1.492872e-03,2.228682e-06,1.177517e-01
5,1.284456e-03,1.649828e-06,9.974317e-02,1.489663e-03,2.219097e-06,1.138278e-01,1.913059e-03,3.661285e-06,1.434210e-01
6,1.562548e-03,2.441558e-06,1.189949e-01,1.885576e-03,3.555579e-06,1.436409e-01,2.333221e-03,5.443932e-06,1.755954e-01
7,1.759672e-03,3.096449e-06,1.357594e-01,2.136893e-03,4.566409e-06,1.707143e-01,2.703960e-03,7.311414e-06,2.069771e-01
8,2.062850e-03,4.255350e-06,1.563855e-01,2.479739e-03,6.149106e-06,1.895424e-01,3.051395e-03,9.311015e-06,2.340398e-01
9,2.342534e-03,5.487472e-06,1.766403e-01,2.695770e-03,7.267265e-06,2.137746e-01,3.448162e-03,1.188983e-05,2.744373e-01
10,2.637362e-03,6.955682e-06,2.050012e-01,2.960086e-03,8.762204e-06,2.313386e-01,3.803945e-03,1.447008e-05,2.983610e-01
11,2.861872e-03,8.190311e-06,2.235731e-01,3.208227e-03,1.029272e-05,2.490037e-01,4.255946e-03,1.811308e-05,3.248416e-01
12,3.180628e-03,1.011639e-05,2.469602e-01,3.504376e-03,1.228065e-05,2.667604e-01,4.664693e-03,2.175936e-05,3.524154e-01
13,3.454685e-03,1.193485e-05,2.675044e-01,3.815260e-03,1.455641e-05,2.893549e-01,5.137906e-03,2.639808e-05,3.869279e-01
14,3.740664e-03,1.399256e-05,2.924557e-01,4.181867e-03,1.748816e-05,3.272078e-01,5.606475e-03,3.143273e-05,4.220291e-01
15,4.007530e-03,1.606030e-05,3.134488e-01,4.472041e-03,1.999915e-05,3.513789e-01,5.877960e-03,3.455041e-05,4.482493e-01
16,4.337616e-03,1.881492e-05,3.355264e-01,4.816113e-03,2.319494e-05,3.688880e-01,6.089711e-03,3.708459e-05,4.668974e-01
17,4.570513e-03,2.088959e-05,3.555355e-01,5.162654e-03,2.665320e-05,3.960110e-01,6.545928e-03,4.284966e-05,4.986578e-01
18,4.789310e-03,2.293749e-05,3.745475e-01,5.400658e-03,2.916735e-05,4.258972e-01,6.872411e-03,4.723009e-05,5.333986e-01
19,4.999027e-03,2.499028e-05,3.889153e-01,5.769091e-03,3.328243e-05,4.615359e-01,7.217593e-03,5.209394e-05,5.582450e-01
20,5.286598e-03,2.794813e-05,4.060032e-01,6.189537e-03,3.831037e-05,4.838738e-01,7.521534e-03,5.657348e-05,5.773662e-01
21,5.547051e-03,3.076978e-05,4.253783e-01,6.526599e-03,4.259652e-05,5.151361e-01,7.979500e-03,6.367243e-05,6.129171e-01
22,5.795918e-03,3.359266e-05,4.427424e-01,6.953931e-03,4.835716e-05,5.417053e-01,8.351002e-03,6.973939e-05,6.489091e-01
23,6.037183e-03,3.644758e-05,4.632223e-01,7.275672e-03,5.293543e-05,5.630250e-01,8.648627e-03,7.479895e-05,6.751282e-01
24,6.269350e-03,3.930475e-05,4.830070e-01,7.570395e-03,5.731107e-05,5.919535e-01,8.940783e-03,7.993762e-05,6.967179e-01
25,6.521702e-03,4.253260e-05,5.024838e-01,8.019447e-03,6.431153e-05,6.287433e-01,9.193301e-03,8.451680e-05,7.280236e-01
26,6.793208e-03,4.614768e-05,5.225211e-01,8.278165e-03,6.852803e-05,6.517187e-01,9.505453e-03,9.035364e-05,7.516847e-01
27,7.032557e-03,4.945685e-05,5.394314e-01,8.762789e-03,7.678647e-05,6.784622e-01,9.759772e-03,9.525315e-05,7.700008e-01
28,7.335944e-03,5.381608e-05,5.615875e-01,9.122663e-03,8.322302e-05,7.085482e-01,1.011470e-02,1.023072e-04,7.862947e-01
29,7.578158e-03,5.742849e-05,5.856894e-01,9.584870e-03,9.186979e-05,7.391599e-01,1.040060e-02,1.081725e-04,8.056137e-01
30,7.907033e-03,6.252117e-05,6.074920e-01,9.809256e-03,9.622152e-05,7.620327e-01,1.090608e-02,1.189427e-04,8.381791e-01
31,8.199553e-03,6.723268e-05,6.308966e-01,1.021281e-02,1.043058e-04,7.844246e-01,1.116673e-02,1.246959e-04,8.638673e-01
32,8.486018e-03,7.201251e-05,6.495498e-01,1.059041e-02,1.121567e-04,8.049963e-01,1.145222e-02,1.311533e-04,8.886744e-01
33,8.804464e-03,7.751859e-05,6.702206e-01,1.087637e-02,1.182956e-04,8.351432e-01,1.187935e-02,1.411196e-04,9.239216e-01
34,9.059782e-03,8.207966e-05,6.936231e-01,1.107722e-02,1.227048e-04,8.683783e-01,1.244551e-02,1.548939e-04,9.576511e-01
35,9.350038e-03,8.742325e-05,7.129746e-01,1.166015e-02,1.359590e-04,8.878669e-01,1.290514e-02,1.665428e-04,9.820398e-01
36,9.632478e-03,9.278463e-05,7.365950e-01,1.195320e-02,1.428789e-04,9.156649e-01,1.338123e-02,1.790573e-04,1.006727e+00
37,9.899740e-03,9.800486e-05,7.637618e-01,1.232816e-02,1.519835e-04,9.491451e-01,1.376837e-02,1.895683e-04,1.058581e+00
38,1.011890e-02,1.023921e-04,7.831766e-01,1.276568e-02,1.629629e-04,9.930155e-01,1.421730e-02,2.021317e-04,1.086493e+00
39,1.037942e-02,1.077323e-04,8.005372e-01,1.332379e-02,1.775234e-04,1.025861e+00,1.466364e-02,2.150223e-04,1.125843e+00
40,1.069224e-02,1.143240e-04,8.226698e-01,1.369374e-02,1.875185e-04,1.057121e+00,1.511765e-02,2.285434e-04,1.161904e+00
41,1.095442e-02,1.199994e-04,8.470626e-01,1.412724e-02,1.995788e-04,1.090113e+00,1.547994e-02,2.396285e-04,1.187313e+00
42,1.123618e-02,1.262518e-04,8.715411e-01,1.443045e-02,2.082379e-04,1.119206e+00,1.602000e-02,2.566403e-04,1.224576e+00
43,1.163029e-02,1.352636e-04,8.909022e-01,1.495837e-02,2.237528e-04,1.143733e+00,1.637565e-02,2.681621e-04,1.250003e+00
44,1.191681e-02,1.420103e-04,9.168226e-01,1.531570e-02,2.345707e-04,1.178967e+00,1.693447e-02,2.867763e-04,1.297972e+00
45,1.230993e-02,1.515344e-04,9.388173e-01,1.564074e-02,2.446326e-04,1.209035e+00,1.754256e-02,3.077416e-04,1.338087e+00
46,1.266531e-02,1.604102e-04,9.607267e-01,1.607566e-02,2.584270e-04,1.230880e+00,1.798320e-02,3.233960e-04,1.356266e+00
47,1.301680e-02,1.694371e-04,9.810402e-01,1.647762e-02,2.715124e-04,1.251021e+00,1.843520e-02,3.398567e-04,1.402900e+00
48,1.330235e-02,1.769524e-04,1.006846e+00,1.688466e-02,2.850917e-04,1.283261e+00,1.902717e-02,3.620335e-04,1.447203e+00
49,1.364270e-02,1.861233e-04,1.033199e+00,1.722587e-02,2.967306e-04,1.324572e+00,1.948472e-02,3.796542e-04,1.497572e+00
50,1.405478e-02,1.975367e-04,1.060136e+00,1.775074e-02,3.150888e-04,1.372589e+00,2.024579e-02,4.098920e-04,1.541653e+00
51,1.443666e-02,2.084170e-04,1.088820e+00,1.834927e-02,3.366957e-04,1.400684e+00,2.068147e-02,4.277233e-04,1.596954e+00
52,1.479815e-02,2.189852e-04,1.124372e+00,1.866603e-02,3.484206e-04,1.422444e+00,2.139081e-02,4.575668e-04,1.633768e+00
53,1.518057e-02,2.304497e-04,1.159044e+00,1.914357e-02,3.664762e-04,1.462190e+00,2.187387e-02,4.784660e-04,1.683308e+00
54,1.555471e-02,2.419491e-04,1.186478e+00,1.985205e-02,3.941051e-04,1.511456e+00,2.276557e-02,5.182718e-04,1.716821e+00
55,1.587839e-02,2.521233e-04,1.216203e+00,2.048895e-02,4.197972e-04,1.547647e+00,2.343414e-02,5.491595e-04,1.757962e+00
56,1.629829e-02,2.656344e-04,1.244817e+00,2.110047e-02,4.452299e-04,1.616266e+00,2.406707e-02,5.792242e-04,1.795680e+00
57,1.674681e-02,2.804556e-04,1.282067e+00,2.148712e-02,4.616964e-04,1.666759e+00,2.488403e-02,6.192152e-04,1.869733e+00
