percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
1,1.630036e-03,2.657064e-06,1.104882e-01,1.308019e-03,1.719050e-06,1.230317e-01,2.224039e-03,4.947034e-06,1.524231e-01
2,3.180385e-03,1.011485e-05,2.152752e-01,3.996916e-03,1.597728e-05,2.331331e-01,4.451022e-03,1.981287e-05,3.138324e-01
3,4.774914e-03,2.279998e-05,3.087885e-01,6.227841e-03,3.879381e-05,3.617286e-01,7.157847e-03,5.123489e-05,4.760744e-01
4,6.559215e-03,4.302360e-05,4.424034e-01,7.933059e-03,6.293652e-05,5.370521e-01,9.835596e-03,9.674513e-05,6.313737e-01
5,8.784294e-03,7.716383e-05,5.667410e-01,1.026354e-02,1.053557e-04,6.621821e-01,1.238291e-02,1.533792e-04,8.656698e-01
6,1.072403e-02,1.150049e-04,7.044693e-01,1.201802e-02,1.444334e-04,7.843111e-01,1.472507e-02,2.168325e-04,1.065184e+00
7,1.285544e-02,1.652627e-04,8.082189e-01,1.468025e-02,2.155771e-04,9.012747e-01,1.776410e-02,3.155634e-04,1.233696e+00
8,1.469714e-02,2.160071e-04,9.537405e-01,1.775196e-02,3.151322e-04,1.047292e+00,1.928117e-02,3.717759e-04,1.396436e+00
9,1.656547e-02,2.744152e-04,1.055452e+00,2.018373e-02,4.073830e-04,1.157072e+00,2.225747e-02,4.953966e-04,1.519775e+00
10,1.834602e-02,3.365766e-04,1.180190e+00,2.160344e-02,4.667159e-04,1.336335e+00,2.560761e-02,6.557498e-04,1.636867e+00
11,2.028573e-02,4.115108e-04,1.285723e+00,2.414609e-02,5.830366e-04,1.600741e+00,2.754559e-02,7.587610e-04,1.797412e+00
12,2.231606e-02,4.980065e-04,1.398614e+00,2.677853e-02,7.171187e-04,1.729102e+00,3.014279e-02,9.085879e-04,1.939643e+00
13,2.383381e-02,5.680509e-04,1.525594e+00,2.959260e-02,8.757232e-04,1.862446e+00,3.263876e-02,1.065304e-03,2.086412e+00
14,2.553650e-02,6.521133e-04,1.666295e+00,3.154109e-02,9.948446e-04,1.978434e+00,3.470299e-02,1.204300e-03,2.210171e+00
15,2.732964e-02,7.469093e-04,1.762345e+00,3.419971e-02,1.169621e-03,2.125657e+00,3.695076e-02,1.365365e-03,2.417772e+00
16,2.883038e-02,8.311908e-04,1.898551e+00,3.678810e-02,1.353364e-03,2.244060e+00,3.921667e-02,1.537957e-03,2.619282e+00
17,3.095635e-02,9.582965e-04,2.040343e+00,3.867525e-02,1.495775e-03,2.358892e+00,4.187611e-02,1.753608e-03,2.781733e+00
18,3.265760e-02,1.066519e-03,2.183925e+00,4.019614e-02,1.615730e-03,2.553450e+00,4.403070e-02,1.938724e-03,2.998229e+00
19,3.445879e-02,1.187409e-03,2.292213e+00,4.201251e-02,1.765052e-03,2.761879e+00,4.774560e-02,2.279643e-03,3.292881e+00
20,3.656065e-02,1.336682e-03,2.394650e+00,4.431655e-02,1.964031e-03,2.929407e+00,5.027623e-02,2.527700e-03,3.508413e+00
21,3.837306e-02,1.472492e-03,2.508658e+00,4.740035e-02,2.246793e-03,3.050154e+00,5.240632e-02,2.746426e-03,3.728643e+00
22,4.039869e-02,1.632054e-03,2.617068e+00,4.942192e-02,2.442528e-03,3.173784e+00,5.560950e-02,3.092418e-03,3.938623e+00
23,4.232754e-02,1.791621e-03,2.735461e+00,5.134544e-02,2.636355e-03,3.326532e+00,5.814162e-02,3.380448e-03,4.093486e+00
24,4.396624e-02,1.933030e-03,2.848236e+00,5.462251e-02,2.983618e-03,3.470510e+00,6.029770e-02,3.635814e-03,4.310343e+00
25,4.578722e-02,2.096469e-03,2.964142e+00,5.733919e-02,3.287783e-03,3.592501e+00,6.450164e-02,4.160488e-03,4.465574e+00
26,4.770605e-02,2.275867e-03,3.088332e+00,6.037571e-02,3.645230e-03,3.696610e+00,6.781512e-02,4.598891e-03,4.650471e+00
27,4.938896e-02,2.439270e-03,3.188133e+00,6.342336e-02,4.022532e-03,3.848074e+00,7.013928e-02,4.919520e-03,4.824771e+00
28,5.156307e-02,2.658750e-03,3.294263e+00,6.575026e-02,4.323115e-03,4.054884e+00,7.255556e-02,5.264312e-03,4.956531e+00
29,5.348375e-02,2.860512e-03,3.434794e+00,6.757618e-02,4.566540e-03,4.270719e+00,7.645190e-02,5.844895e-03,5.091287e+00
30,5.555492e-02,3.086349e-03,3.552178e+00,7.015550e-02,4.921796e-03,4.471056e+00,8.005402e-02,6.408648e-03,5.225950e+00
31,5.756805e-02,3.314081e-03,3.689790e+00,7.215760e-02,5.206720e-03,4.647904e+00,8.368256e-02,7.002771e-03,5.427462e+00
32,5.905160e-02,3.487092e-03,3.830739e+00,7.536949e-02,5.680561e-03,4.813323e+00,8.712411e-02,7.590610e-03,5.622417e+00
33,6.122275e-02,3.748228e-03,3.983036e+00,7.735473e-02,5.983754e-03,4.946884e+00,9.106491e-02,8.292818e-03,5.785326e+00
34,6.309041e-02,3.980402e-03,4.112096e+00,8.038309e-02,6.461442e-03,5.130012e+00,9.337567e-02,8.719018e-03,6.013099e+00
35,6.522971e-02,4.254916e-03,4.269571e+00,8.223758e-02,6.763025e-03,5.343095e+00,9.550459e-02,9.121127e-03,6.292006e+00
36,6.729810e-02,4.529034e-03,4.430962e+00,8.493576e-02,7.214084e-03,5.496339e+00,9.784603e-02,9.573848e-03,6.444052e+00
37,6.910769e-02,4.775873e-03,4.588818e+00,8.665751e-02,7.509524e-03,5.691155e+00,1.000502e-01,1.001004e-02,6.645513e+00
38,7.090467e-02,5.027472e-03,4.733165e+00,8.865577e-02,7.859846e-03,5.872222e+00,1.019672e-01,1.039731e-02,6.888744e+00
39,7.275952e-02,5.293948e-03,4.864100e+00,9.032960e-02,8.159438e-03,6.133268e+00,1.044874e-01,1.091761e-02,7.103273e+00
40,7.466778e-02,5.575278e-03,5.028204e+00,9.178071e-02,8.423701e-03,6.351024e+00,1.058518e-01,1.120460e-02,7.280684e+00
41,7.666134e-02,5.876961e-03,5.205277e+00,9.409667e-02,8.854186e-03,6.567131e+00,1.091780e-01,1.191983e-02,7.550080e+00
42,7.866762e-02,6.188595e-03,5.370488e+00,9.680149e-02,9.370529e-03,6.745658e+00,1.125036e-01,1.265707e-02,7.692728e+00
43,8.111928e-02,6.580338e-03,5.514797e+00,1.022650e-01,1.045822e-02,7.010162e+00,1.158052e-01,1.341085e-02,7.910818e+00
44,8.342835e-02,6.960291e-03,5.683830e+00,1.048682e-01,1.099734e-02,7.333833e+00,1.175797e-01,1.382499e-02,8.139775e+00
45,8.530185e-02,7.276406e-03,5.824055e+00,1.072932e-01,1.151183e-02,7.550614e+00,1.207464e-01,1.457970e-02,8.328407e+00
46,8.746700e-02,7.650476e-03,5.991636e+00,1.105468e-01,1.222060e-02,7.764940e+00,1.242607e-01,1.544072e-02,8.583767e+00
47,8.960022e-02,8.028199e-03,6.123717e+00,1.134005e-01,1.285968e-02,7.915158e+00,1.287761e-01,1.658328e-02,8.970923e+00
48,9.154705e-02,8.380861e-03,6.298778e+00,1.162522e-01,1.351459e-02,8.152601e+00,1.323773e-01,1.752377e-02,9.209002e+00
49,9.358384e-02,8.757936e-03,6.481857e+00,1.222361e-01,1.494171e-02,8.443378e+00,1.356871e-01,1.841100e-02,9.446335e+00
50,9.566700e-02,9.152176e-03,6.685773e+00,1.262405e-01,1.593666e-02,8.670161e+00,1.397313e-01,1.952483e-02,9.677335e+00
51,9.825996e-02,9.655019e-03,6.867506e+00,1.299292e-01,1.688163e-02,8.931034e+00,1.429006e-01,2.042058e-02,1.000511e+01
52,1.008546e-01,1.017165e-02,7.036343e+00,1.338103e-01,1.790519e-02,9.114128e+00,1.463703e-01,2.142427e-02,1.033375e+01
53,1.037445e-01,1.076291e-02,7.192335e+00,1.367819e-01,1.870930e-02,9.316750e+00,1.503288e-01,2.259874e-02,1.078756e+01
54,1.059388e-01,1.122303e-02,7.416957e+00,1.399513e-01,1.958636e-02,9.614244e+00,1.541358e-01,2.375783e-02,1.111782e+01
55,1.087452e-01,1.182552e-02,7.584776e+00,1.435737e-01,2.061347e-02,9.841405e+00,1.576557e-01,2.485540e-02,1.140300e+01
56,1.111772e-01,1.236037e-02,7.773893e+00,1.475493e-01,2.177083e-02,1.011125e+01,1.604917e-01,2.575760e-02,1.170883e+01
57,1.136181e-01,1.290908e-02,7.984487e+00,1.517257e-01,2.302070e-02,1.050544e+01,1.647351e-01,2.713767e-02,1.211890e+01
58,1.161157e-01,1.348288e-02,8.196912e+00,1.549972e-01,2.402413e-02,1.106468e+01,1.677114e-01,2.812714e-02,1.256387e+01
59,1.194304e-01,1.426362e-02,8.373516e+00,1.583096e-01,2.506193e-02,1.155789e+01,1.719433e-01,2.956451e-02,1.302165e+01
60,1.226979e-01,1.505478e-02,8.588856e+00,1.626202e-01,2.644536e-02,1.188704e+01,1.762546e-01,3.106570e-02,1.363693e+01
61,1.249544e-01,1.561361e-02,8.828764e+00,1.646301e-01,2.710306e-02,1.230812e+01,1.800694e-01,3.242499e-02,1.400503e+01
62,1.277957e-01,1.633174e-02,9.114480e+00,1.694986e-01,2.872981e-02,1.267813e+01,1.846677e-01,3.410218e-02,1.445330e+01
63,1.314973e-01,1.729154e-02,9.296857e+00,1.736160e-01,3.014253e-02,1.333395e+01,1.883220e-01,3.546523e-02,1.500763e+01
64,1.348429e-01,1.818261e-02,9.529736e+00,1.764150e-01,3.112225e-02,1.368673e+01,1.930657e-01,3.727439e-02,1.557670e+01
65,1.382710e-01,1.911888e-02,9.875101e+00,1.805485e-01,3.259777e-02,1.411270e+01,1.987679e-01,3.950869e-02,1.613344e+01
66,1.418277e-01,2.011510e-02,1.022459e+01,1.854998e-01,3.441021e-02,1.443759e+01,2.059554e-01,4.241765e-02,1.661712e+01
67,1.454250e-01,2.114843e-02,1.050893e+01,1.900927e-01,3.613523e-02,1.502385e+01,2.100982e-01,4.414125e-02,1.702182e+01
68,1.488275e-01,2.214963e-02,1.081695e+01,1.947387e-01,3.792315e-02,1.546266e+01,2.146398e-01,4.607024e-02,1.740461e+01
69,1.530069e-01,2.341111e-02,1.110750e+01,1.986375e-01,3.945687e-02,1.620533e+01,2.194647e-01,4.816481e-02,1.817541e+01
70,1.565729e-01,2.451507e-02,1.159370e+01,2.049991e-01,4.202469e-02,1.648367e+01,2.271564e-01,5.160004e-02,1.875865e+01
71,1.608305e-01,2.586645e-02,1.189271e+01,2.108946e-01,4.447653e-02,1.690426e+01,2.335288e-01,5.453573e-02,1.931575e+01
72,1.643624e-01,2.701499e-02,1.232360e+01,2.193137e-01,4.809852e-02,1.725118e+01,2.410258e-01,5.809361e-02,2.011803e+01
73,1.674789e-01,2.804918e-02,1.276698e+01,2.290088e-01,5.244506e-02,1.810594e+01,2.491678e-01,6.208458e-02,2.079767e+01
74,1.714606e-01,2.939874e-02,1.328365e+01,2.353508e-01,5.539011e-02,1.852735e+01,2.544424e-01,6.474096e-02,2.157371e+01
75,1.754084e-01,3.076812e-02,1.372377e+01,2.391682e-01,5.720141e-02,1.917117e+01,2.626155e-01,6.896692e-02,2.239351e+01
76,1.796406e-01,3.227076e-02,1.416203e+01,2.437241e-01,5.940169e-02,1.998479e+01,2.695751e-01,7.267072e-02,2.307720e+01
77,1.835540e-01,3.369209e-02,1.471699e+01,2.486723e-01,6.183790e-02,2.059077e+01,2.779904e-01,7.727874e-02,2.401232e+01
78,1.884893e-01,3.552822e-02,1.531314e+01,2.544794e-01,6.475975e-02,2.158807e+01,2.903634e-01,8.431094e-02,2.493401e+01
79,1.929503e-01,3.722982e-02,1.591312e+01,2.636672e-01,6.952039e-02,2.278581e+01,2.976855e-01,8.861667e-02,2.568379e+01
80,1.987061e-01,3.948412e-02,1.652052e+01,2.750519e-01,7.565357e-02,2.353631e+01,3.051935e-01,9.314307e-02,2.661313e+01
81,2.043303e-01,4.175087e-02,1.728912e+01,2.832358e-01,8.022265e-02,2.482807e+01,3.151289e-01,9.930644e-02,2.781358e+01
82,2.100447e-01,4.411881e-02,1.800985e+01,2.892544e-01,8.366833e-02,2.570816e+01,3.278552e-01,1.074891e-01,2.962924e+01
83,2.156756e-01,4.651597e-02,1.876125e+01,2.999395e-01,8.996375e-02,2.643655e+01,3.360759e-01,1.129470e-01,3.084415e+01
84,2.223550e-01,4.944178e-02,1.967091e+01,3.093684e-01,9.571083e-02,2.749247e+01,3.467110e-01,1.202086e-01,3.301194e+01
85,2.293645e-01,5.260806e-02,2.048579e+01,3.196295e-01,1.021630e-01,2.876054e+01,3.609966e-01,1.303186e-01,3.457784e+01
86,2.360205e-01,5.570566e-02,2.164686e+01,3.276075e-01,1.073282e-01,3.111054e+01,3.750577e-01,1.406683e-01,3.655462e+01
87,2.430571e-01,5.907674e-02,2.290751e+01,3.432868e-01,1.178472e-01,3.278058e+01,3.903089e-01,1.523423e-01,3.774860e+01
88,2.520988e-01,6.355378e-02,2.420692e+01,3.502064e-01,1.226447e-01,3.417251e+01,4.106315e-01,1.686182e-01,3.945521e+01
89,2.626257e-01,6.897228e-02,2.548836e+01,3.690199e-01,1.361759e-01,3.678377e+01,4.337920e-01,1.881756e-01,4.238906e+01
90,2.718138e-01,7.388276e-02,2.701597e+01,3.984349e-01,1.587507e-01,3.895355e+01,4.567477e-01,2.086185e-01,4.509316e+01
91,2.828058e-01,7.997914e-02,2.894574e+01,4.210627e-01,1.772939e-01,4.156731e+01,4.778423e-01,2.283332e-01,5.023702e+01
92,2.929825e-01,8.583876e-02,3.145738e+01,4.359336e-01,1.900392e-01,4.353360e+01,5.098953e-01,2.599936e-01,5.565435e+01
93,3.088584e-01,9.539353e-02,3.447018e+01,4.928728e-01,2.429251e-01,4.616080e+01,5.419718e-01,2.937335e-01,6.308655e+01
94,3.311933e-01,1.096890e-01,3.818673e+01,5.236725e-01,2.742339e-01,5.178873e+01,5.957195e-01,3.548860e-01,6.983352e+01
95,3.565422e-01,1.271224e-01,4.286960e+01,5.555665e-01,3.086592e-01,6.007716e+01,6.842982e-01,4.682699e-01,8.401086e+01
96,3.849175e-01,1.481616e-01,4.876298e+01,6.024278e-01,3.629203e-01,7.713958e+01,7.385980e-01,5.455288e-01,9.849364e+01
97,4.156106e-01,1.727323e-01,5.935607e+01,6.790091e-01,4.610596e-01,9.237698e+01,7.929322e-01,6.287415e-01,1.117562e+02
98,4.811886e-01,2.315426e-01,7.644626e+01,7.546113e-01,5.694386e-01,1.247815e+02,8.708045e-01,7.583025e-01,1.420179e+02
99,5.756866e-01,3.314154e-01,1.094867e+02,9.400747e-01,8.837534e-01,1.842165e+02,1.066339e+00,1.137212e+00,1.910098e+02
100,1.258309e+00,1.583341e+00,1.432898e+03,1.742952e+00,3.037883e+00,5.743985e+03,1.647378e+00,2.713855e+00,1.326720e+03
