percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
1,1.735985e-06,3.013645e-12,6.932697e-03,1.495369e-06,2.238000e-12,7.478292e-03,2.577230e-06,6.643764e-12,1.233187e-02
2,3.444701e-06,1.186598e-11,1.416615e-02,3.456622e-06,1.194866e-11,1.614331e-02,4.135221e-06,1.710854e-11,1.965470e-02
3,5.355701e-06,2.868356e-11,2.210989e-02,5.391091e-06,2.906626e-11,2.429041e-02,5.817302e-06,3.384122e-11,2.603417e-02
4,7.233322e-06,5.232095e-11,3.002842e-02,8.004010e-06,6.407079e-11,3.312078e-02,7.096305e-06,5.035827e-11,3.111579e-02
5,8.792058e-06,7.730401e-11,3.682784e-02,9.814277e-06,9.633105e-11,4.517726e-02,8.407515e-06,7.068831e-11,4.014716e-02
6,1.076527e-05,1.158910e-10,4.434205e-02,1.227781e-05,1.507448e-10,5.010701e-02,9.896755e-06,9.794577e-11,4.792692e-02
7,1.256779e-05,1.579494e-10,5.092524e-02,1.399569e-05,1.958887e-10,5.613165e-02,1.188060e-05,1.411496e-10,5.535531e-02
8,1.437902e-05,2.067575e-10,5.831548e-02,1.670904e-05,2.791959e-10,6.389605e-02,1.399830e-05,1.959528e-10,6.663645e-02
9,1.609921e-05,2.591858e-10,6.514769e-02,1.849227e-05,3.419652e-10,7.421922e-02,1.693171e-05,2.866827e-10,7.765009e-02
10,1.793057e-05,3.215052e-10,7.245441e-02,2.002120e-05,4.008499e-10,8.170685e-02,1.971200e-05,3.885862e-10,8.418437e-02
11,1.957096e-05,3.830226e-10,8.121108e-02,2.146773e-05,4.608635e-10,9.108084e-02,2.175443e-05,4.732554e-10,1.004701e-01
12,2.138719e-05,4.574119e-10,8.811564e-02,2.246737e-05,5.047851e-10,9.574881e-02,2.429433e-05,5.902171e-10,1.157014e-01
13,2.324857e-05,5.404959e-10,9.549859e-02,2.427831e-05,5.894453e-10,1.034341e-01,2.605438e-05,6.788309e-10,1.244380e-01
14,2.524704e-05,6.374129e-10,1.025437e-01,2.569139e-05,6.600508e-10,1.088983e-01,2.790272e-05,7.785630e-10,1.313045e-01
15,2.681762e-05,7.191848e-10,1.094568e-01,2.702363e-05,7.302811e-10,1.141520e-01,3.039539e-05,9.238800e-10,1.370874e-01
16,2.889045e-05,8.346579e-10,1.165256e-01,2.874974e-05,8.265479e-10,1.185990e-01,3.153168e-05,9.942472e-10,1.455962e-01
17,3.040433e-05,9.244233e-10,1.248851e-01,3.072016e-05,9.437283e-10,1.257490e-01,3.275897e-05,1.073150e-09,1.531732e-01
18,3.211595e-05,1.031435e-09,1.313600e-01,3.220651e-05,1.037259e-09,1.343638e-01,3.515542e-05,1.235906e-09,1.615683e-01
19,3.416292e-05,1.167106e-09,1.391080e-01,3.413841e-05,1.165433e-09,1.414586e-01,3.726643e-05,1.388787e-09,1.687451e-01
20,3.563352e-05,1.269748e-09,1.481687e-01,3.623404e-05,1.312906e-09,1.491339e-01,3.957041e-05,1.565822e-09,1.763604e-01
21,3.755689e-05,1.410520e-09,1.554730e-01,3.814355e-05,1.454931e-09,1.543436e-01,4.129719e-05,1.705458e-09,1.876918e-01
22,3.923371e-05,1.539284e-09,1.636867e-01,4.034743e-05,1.627918e-09,1.644227e-01,4.306331e-05,1.854463e-09,1.950045e-01
23,4.079044e-05,1.663860e-09,1.716969e-01,4.237510e-05,1.795650e-09,1.742738e-01,4.487757e-05,2.013996e-09,1.990200e-01
24,4.250504e-05,1.806678e-09,1.793278e-01,4.453376e-05,1.983318e-09,1.870666e-01,4.695822e-05,2.205074e-09,2.084579e-01
25,4.415773e-05,1.949905e-09,1.866785e-01,4.597660e-05,2.113848e-09,1.940021e-01,4.860479e-05,2.362426e-09,2.151024e-01
26,4.582763e-05,2.100171e-09,1.937574e-01,4.827928e-05,2.330891e-09,2.070576e-01,5.007856e-05,2.507862e-09,2.233622e-01
27,4.756272e-05,2.262212e-09,2.025613e-01,5.030341e-05,2.530434e-09,2.209500e-01,5.191162e-05,2.694817e-09,2.330045e-01
28,4.939169e-05,2.439539e-09,2.109689e-01,5.234763e-05,2.740282e-09,2.294239e-01,5.346574e-05,2.858596e-09,2.416945e-01
29,5.162530e-05,2.665171e-09,2.181681e-01,5.576830e-05,3.110105e-09,2.389861e-01,5.518667e-05,3.045570e-09,2.540842e-01
30,5.362332e-05,2.875461e-09,2.265996e-01,5.759522e-05,3.317261e-09,2.509603e-01,5.761869e-05,3.319914e-09,2.619321e-01
31,5.556848e-05,3.087856e-09,2.344599e-01,5.974643e-05,3.569636e-09,2.567755e-01,5.877901e-05,3.454973e-09,2.747857e-01
32,5.719058e-05,3.270763e-09,2.432437e-01,6.233409e-05,3.885541e-09,2.661555e-01,6.123435e-05,3.749654e-09,2.820828e-01
33,5.922563e-05,3.507676e-09,2.511048e-01,6.507017e-05,4.234131e-09,2.725216e-01,6.457623e-05,4.170092e-09,2.910017e-01
34,6.115273e-05,3.739657e-09,2.586346e-01,6.765239e-05,4.576850e-09,2.818164e-01,6.696969e-05,4.484976e-09,2.992701e-01
35,6.287992e-05,3.953884e-09,2.672260e-01,6.957129e-05,4.840165e-09,2.890722e-01,6.924532e-05,4.794916e-09,3.075502e-01
36,6.523281e-05,4.255320e-09,2.765127e-01,7.105749e-05,5.049169e-09,2.976144e-01,7.033348e-05,4.946800e-09,3.193508e-01
37,6.751150e-05,4.557803e-09,2.843040e-01,7.249534e-05,5.255575e-09,3.069715e-01,7.215988e-05,5.207048e-09,3.270824e-01
38,6.996147e-05,4.894608e-09,2.925487e-01,7.383451e-05,5.451558e-09,3.137390e-01,7.361405e-05,5.419028e-09,3.355766e-01
39,7.208653e-05,5.196468e-09,3.018396e-01,7.638030e-05,5.833951e-09,3.246184e-01,7.603113e-05,5.780732e-09,3.458706e-01
40,7.425770e-05,5.514207e-09,3.113034e-01,7.833317e-05,6.136086e-09,3.312926e-01,7.824022e-05,6.121533e-09,3.577384e-01
41,7.631101e-05,5.823370e-09,3.192602e-01,8.041956e-05,6.467305e-09,3.451899e-01,8.019447e-05,6.431154e-09,3.653487e-01
42,7.815391e-05,6.108033e-09,3.343815e-01,8.244403e-05,6.797029e-09,3.534417e-01,8.237340e-05,6.785377e-09,3.766927e-01
43,8.029290e-05,6.446949e-09,3.428049e-01,8.537091e-05,7.288193e-09,3.614290e-01,8.492675e-05,7.212558e-09,3.857622e-01
44,8.255932e-05,6.816042e-09,3.523515e-01,8.772627e-05,7.695897e-09,3.705000e-01,8.656256e-05,7.493076e-09,3.942163e-01
45,8.464381e-05,7.164575e-09,3.609351e-01,9.062141e-05,8.212244e-09,3.804943e-01,8.890815e-05,7.904661e-09,4.080597e-01
46,8.679360e-05,7.533132e-09,3.712066e-01,9.330437e-05,8.705705e-09,3.926681e-01,9.092785e-05,8.267878e-09,4.167375e-01
47,8.924030e-05,7.963831e-09,3.803553e-01,9.664163e-05,9.339605e-09,3.991508e-01,9.383395e-05,8.804812e-09,4.274771e-01
48,9.149529e-05,8.371388e-09,3.903306e-01,9.888902e-05,9.779041e-09,4.084243e-01,9.662323e-05,9.336057e-09,4.400800e-01
49,9.393603e-05,8.823977e-09,3.990996e-01,1.001856e-04,1.003715e-08,4.164035e-01,9.860279e-05,9.722515e-09,4.501073e-01
50,9.659305e-05,9.330217e-09,4.115101e-01,1.025647e-04,1.051952e-08,4.307564e-01,1.003454e-04,1.006919e-08,4.625378e-01
51,9.885512e-05,9.772336e-09,4.222445e-01,1.043077e-04,1.088010e-08,4.458057e-01,1.019001e-04,1.038362e-08,4.760197e-01
52,1.007967e-04,1.015998e-08,4.341172e-01,1.079183e-04,1.164637e-08,4.558201e-01,1.047021e-04,1.096253e-08,4.853828e-01
53,1.039185e-04,1.079905e-08,4.421308e-01,1.105733e-04,1.222647e-08,4.681766e-01,1.079400e-04,1.165105e-08,4.970729e-01
54,1.064770e-04,1.133735e-08,4.513030e-01,1.131598e-04,1.280513e-08,4.788980e-01,1.108593e-04,1.228978e-08,5.090251e-01
55,1.087293e-04,1.182206e-08,4.612289e-01,1.169685e-04,1.368164e-08,4.867408e-01,1.132915e-04,1.283496e-08,5.232664e-01
56,1.120171e-04,1.254783e-08,4.709266e-01,1.200971e-04,1.442331e-08,4.954337e-01,1.154725e-04,1.333391e-08,5.405670e-01
57,1.144673e-04,1.310275e-08,4.839564e-01,1.224322e-04,1.498965e-08,5.084103e-01,1.177778e-04,1.387165e-08,5.532847e-01
58,1.165262e-04,1.357835e-08,4.955981e-01,1.257313e-04,1.580836e-08,5.221214e-01,1.210316e-04,1.464867e-08,5.676586e-01
59,1.188319e-04,1.412103e-08,5.064082e-01,1.280729e-04,1.640268e-08,5.366703e-01,1.239005e-04,1.535134e-08,5.834245e-01
60,1.218315e-04,1.484292e-08,5.186109e-01,1.309000e-04,1.713489e-08,5.505470e-01,1.280751e-04,1.640325e-08,5.961042e-01
61,1.246129e-04,1.552837e-08,5.315988e-01,1.333884e-04,1.779247e-08,5.686746e-01,1.302720e-04,1.697079e-08,6.071412e-01
62,1.274150e-04,1.623458e-08,5.447182e-01,1.365615e-04,1.864906e-08,5.841125e-01,1.327088e-04,1.761164e-08,6.198436e-01
63,1.306893e-04,1.707969e-08,5.602116e-01,1.406213e-04,1.977435e-08,5.977199e-01,1.351341e-04,1.826123e-08,6.339890e-01
