percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
1,5.052452e-03,2.552856e-05,2.202424e-02,6.057053e-03,3.681935e-05,2.702183e-02,5.575600e-03,3.108820e-05,2.597208e-02
2,9.615326e-03,9.245450e-05,4.585142e-02,1.239857e-02,1.537383e-04,5.218960e-02,1.081512e-02,1.170470e-04,4.840945e-02
3,1.409515e-02,1.986892e-04,6.755001e-02,1.736984e-02,3.017132e-04,7.987031e-02,1.757162e-02,3.087642e-04,7.526572e-02
4,1.853973e-02,3.437218e-04,8.729800e-02,2.195549e-02,4.820477e-04,1.072650e-01,2.270691e-02,5.156723e-04,9.709663e-02
5,2.288094e-02,5.235377e-04,1.077193e-01,2.789040e-02,7.778787e-04,1.264406e-01,2.674904e-02,7.155111e-04,1.268333e-01
6,2.764923e-02,7.644830e-04,1.262752e-01,3.519299e-02,1.238584e-03,1.655597e-01,3.131462e-02,9.806056e-04,1.458588e-01
7,3.138176e-02,9.848149e-04,1.452032e-01,4.177673e-02,1.745301e-03,1.806496e-01,3.703423e-02,1.371534e-03,1.644366e-01
8,3.643867e-02,1.327777e-03,1.668456e-01,4.716179e-02,2.224246e-03,1.984914e-01,4.044022e-02,1.635413e-03,1.874078e-01
9,4.089870e-02,1.672706e-03,1.877831e-01,5.153099e-02,2.655450e-03,2.327604e-01,4.481714e-02,2.008592e-03,2.009639e-01
10,4.579754e-02,2.097415e-03,2.096781e-01,5.618248e-02,3.156471e-03,2.584073e-01,4.979515e-02,2.479559e-03,2.148009e-01
11,4.926567e-02,2.427106e-03,2.300509e-01,6.012573e-02,3.615188e-03,2.717127e-01,5.512882e-02,3.039200e-03,2.369886e-01
12,5.333591e-02,2.844720e-03,2.536858e-01,6.520363e-02,4.251517e-03,2.910349e-01,6.084656e-02,3.702339e-03,2.692594e-01
13,5.786880e-02,3.348799e-03,2.746805e-01,7.148621e-02,5.110298e-03,3.208833e-01,6.494686e-02,4.218110e-03,2.892594e-01
14,6.387772e-02,4.080363e-03,3.035177e-01,7.671181e-02,5.884728e-03,3.421989e-01,6.902351e-02,4.764247e-03,3.161733e-01
15,6.888123e-02,4.744625e-03,3.260592e-01,8.315506e-02,6.914769e-03,3.655283e-01,7.376766e-02,5.441709e-03,3.383730e-01
16,7.486069e-02,5.604123e-03,3.431161e-01,8.858292e-02,7.846945e-03,3.963519e-01,8.038963e-02,6.462657e-03,3.538728e-01
17,7.838806e-02,6.144688e-03,3.627787e-01,9.445015e-02,8.920833e-03,4.236070e-01,8.538239e-02,7.290156e-03,3.783216e-01
18,8.305382e-02,6.897937e-03,3.845633e-01,9.833313e-02,9.669698e-03,4.604305e-01,9.013924e-02,8.125104e-03,3.979655e-01
19,8.843857e-02,7.821387e-03,4.067656e-01,1.043602e-01,1.089114e-02,4.908755e-01,9.487415e-02,9.001163e-03,4.220744e-01
20,9.378815e-02,8.796217e-03,4.311772e-01,1.092049e-01,1.192571e-02,5.101670e-01,1.009129e-01,1.018344e-02,4.561133e-01
21,9.899002e-02,9.799024e-03,4.557218e-01,1.153670e-01,1.330958e-02,5.412962e-01,1.065656e-01,1.135626e-02,4.789539e-01
22,1.040656e-01,1.082967e-02,4.791753e-01,1.218710e-01,1.485254e-02,5.575490e-01,1.095950e-01,1.201107e-02,5.003600e-01
23,1.093638e-01,1.196045e-02,4.966070e-01,1.294621e-01,1.676043e-02,5.786904e-01,1.132439e-01,1.282418e-02,5.166650e-01
24,1.140491e-01,1.300719e-02,5.179505e-01,1.348232e-01,1.817729e-02,6.067723e-01,1.160239e-01,1.346154e-02,5.335253e-01
25,1.192284e-01,1.421540e-02,5.397402e-01,1.400223e-01,1.960624e-02,6.249574e-01,1.214638e-01,1.475345e-02,5.557998e-01
26,1.234882e-01,1.524933e-02,5.679370e-01,1.449712e-01,2.101664e-02,6.595525e-01,1.281348e-01,1.641852e-02,5.877270e-01
27,1.276706e-01,1.629977e-02,5.885032e-01,1.513423e-01,2.290450e-02,6.860032e-01,1.348266e-01,1.817826e-02,6.190145e-01
28,1.320095e-01,1.742651e-02,6.148455e-01,1.563115e-01,2.443330e-02,7.074483e-01,1.391362e-01,1.935888e-02,6.420938e-01
29,1.377390e-01,1.897202e-02,6.411937e-01,1.631010e-01,2.660195e-02,7.397074e-01,1.442688e-01,2.081351e-02,6.673744e-01
30,1.429394e-01,2.043167e-02,6.692176e-01,1.702682e-01,2.899128e-02,7.753386e-01,1.477325e-01,2.182494e-02,6.834811e-01
31,1.484795e-01,2.204616e-02,6.926835e-01,1.766030e-01,3.118863e-02,7.923430e-01,1.544165e-01,2.384455e-02,7.031341e-01
32,1.524524e-01,2.324174e-02,7.172645e-01,1.815218e-01,3.295037e-02,8.134441e-01,1.634232e-01,2.670720e-02,7.275620e-01
33,1.580800e-01,2.498929e-02,7.408648e-01,1.864191e-01,3.475216e-02,8.498951e-01,1.686227e-01,2.843360e-02,7.597250e-01
34,1.633469e-01,2.668221e-02,7.586519e-01,1.919450e-01,3.684290e-02,8.702731e-01,1.750609e-01,3.064636e-02,7.877334e-01
35,1.686954e-01,2.845815e-02,7.799202e-01,1.984646e-01,3.938836e-02,8.989887e-01,1.805223e-01,3.258832e-02,8.169225e-01
36,1.735940e-01,3.013487e-02,8.090497e-01,2.041122e-01,4.166181e-02,9.339047e-01,1.861388e-01,3.464765e-02,8.422498e-01
37,1.777883e-01,3.160869e-02,8.342175e-01,2.086421e-01,4.353160e-02,9.666632e-01,1.909815e-01,3.647396e-02,8.693665e-01
38,1.823817e-01,3.326310e-02,8.578940e-01,2.130364e-01,4.538450e-02,9.907997e-01,1.954139e-01,3.818660e-02,8.963454e-01
39,1.874446e-01,3.513548e-02,8.813044e-01,2.173822e-01,4.725514e-02,1.023798e+00,2.056853e-01,4.230651e-02,9.238740e-01
40,1.922321e-01,3.695319e-02,9.038841e-01,2.223141e-01,4.942355e-02,1.059851e+00,2.109291e-01,4.449110e-02,9.596502e-01
41,1.981365e-01,3.925807e-02,9.334827e-01,2.271544e-01,5.159913e-02,1.089392e+00,2.173078e-01,4.722269e-02,9.830326e-01
42,2.051575e-01,4.208962e-02,9.647345e-01,2.327443e-01,5.416992e-02,1.117218e+00,2.248378e-01,5.055203e-02,1.014028e+00
43,2.111896e-01,4.460104e-02,9.957502e-01,2.424320e-01,5.877329e-02,1.131315e+00,2.334245e-01,5.448701e-02,1.049511e+00
44,2.172283e-01,4.718814e-02,1.023514e+00,2.487294e-01,6.186633e-02,1.152007e+00,2.397576e-01,5.748372e-02,1.086797e+00
45,2.218746e-01,4.922835e-02,1.052317e+00,2.569210e-01,6.600850e-02,1.183911e+00,2.465929e-01,6.080806e-02,1.114615e+00
46,2.279690e-01,5.196986e-02,1.080978e+00,2.645514e-01,6.998746e-02,1.221418e+00,2.525738e-01,6.379352e-02,1.138684e+00
47,2.329132e-01,5.424858e-02,1.111228e+00,2.686525e-01,7.217417e-02,1.267367e+00,2.598888e-01,6.754219e-02,1.174817e+00
48,2.391962e-01,5.721483e-02,1.147127e+00,2.725061e-01,7.425956e-02,1.295454e+00,2.677335e-01,7.168125e-02,1.216818e+00
49,2.461885e-01,6.060878e-02,1.177937e+00,2.791470e-01,7.792307e-02,1.329992e+00,2.737493e-01,7.493873e-02,1.245297e+00
50,2.523499e-01,6.368045e-02,1.204055e+00,2.857437e-01,8.164947e-02,1.352242e+00,2.786236e-01,7.763110e-02,1.284155e+00
51,2.585140e-01,6.682950e-02,1.236579e+00,2.925577e-01,8.559000e-02,1.387443e+00,2.866113e-01,8.214601e-02,1.317453e+00
52,2.640493e-01,6.972203e-02,1.265535e+00,2.995821e-01,8.974946e-02,1.433033e+00,2.939404e-01,8.640098e-02,1.360026e+00
53,2.716227e-01,7.377891e-02,1.294115e+00,3.040419e-01,9.244149e-02,1.485532e+00,3.023329e-01,9.140521e-02,1.388276e+00
54,2.768549e-01,7.664866e-02,1.335915e+00,3.094560e-01,9.576303e-02,1.517833e+00,3.112527e-01,9.687851e-02,1.422269e+00
55,2.833691e-01,8.029803e-02,1.368034e+00,3.147760e-01,9.908396e-02,1.570982e+00,3.184156e-01,1.013886e-01,1.469167e+00
56,2.899905e-01,8.409447e-02,1.405771e+00,3.237751e-01,1.048305e-01,1.593993e+00,3.255551e-01,1.059861e-01,1.502446e+00
57,2.966928e-01,8.802663e-02,1.444466e+00,3.305797e-01,1.092830e-01,1.625128e+00,3.330889e-01,1.109482e-01,1.537664e+00
58,3.035252e-01,9.212755e-02,1.476326e+00,3.414632e-01,1.165972e-01,1.672475e+00,3.395097e-01,1.152669e-01,1.578377e+00
59,3.104235e-01,9.636276e-02,1.513826e+00,3.499125e-01,1.224388e-01,1.708301e+00,3.470582e-01,1.204494e-01,1.642848e+00
60,3.180971e-01,1.011858e-01,1.558586e+00,3.561817e-01,1.268654e-01,1.756249e+00,3.567261e-01,1.272537e-01,1.672676e+00
61,3.248484e-01,1.055265e-01,1.595563e+00,3.621094e-01,1.311232e-01,1.796474e+00,3.632045e-01,1.319175e-01,1.711015e+00
62,3.315912e-01,1.099527e-01,1.636072e+00,3.708428e-01,1.375244e-01,1.822077e+00,3.734649e-01,1.394761e-01,1.739861e+00
63,3.394537e-01,1.152288e-01,1.675581e+00,3.758281e-01,1.412468e-01,1.842868e+00,3.801575e-01,1.445198e-01,1.771397e+00
64,3.480215e-01,1.211190e-01,1.714354e+00,3.842293e-01,1.476324e-01,1.892432e+00,3.900202e-01,1.521158e-01,1.797850e+00
65,3.564421e-01,1.270510e-01,1.753434e+00,3.899982e-01,1.520987e-01,1.913888e+00,3.999449e-01,1.599559e-01,1.837035e+00
66,3.651723e-01,1.333508e-01,1.802528e+00,3.962258e-01,1.569949e-01,1.946269e+00,4.088313e-01,1.671431e-01,1.891177e+00
67,3.716698e-01,1.381385e-01,1.846680e+00,4.106284e-01,1.686168e-01,2.000367e+00,4.155394e-01,1.726730e-01,1.947313e+00
68,3.798133e-01,1.442582e-01,1.884119e+00,4.204204e-01,1.767534e-01,2.055345e+00,4.236639e-01,1.794914e-01,1.984328e+00
69,3.876716e-01,1.502893e-01,1.932952e+00,4.331618e-01,1.876292e-01,2.119400e+00,4.311282e-01,1.858716e-01,2.039359e+00
70,3.950478e-01,1.560627e-01,1.981045e+00,4.434532e-01,1.966508e-01,2.168797e+00,4.394165e-01,1.930869e-01,2.094735e+00
71,4.049641e-01,1.639960e-01,2.036227e+00,4.521116e-01,2.044049e-01,2.231339e+00,4.471589e-01,1.999511e-01,2.132085e+00
72,4.165462e-01,1.735108e-01,2.091041e+00,4.608537e-01,2.123865e-01,2.262172e+00,4.572569e-01,2.090840e-01,2.194925e+00
73,4.279117e-01,1.831084e-01,2.150441e+00,4.698674e-01,2.207753e-01,2.324919e+00,4.623441e-01,2.137621e-01,2.246701e+00
74,4.361436e-01,1.902212e-01,2.206248e+00,4.821153e-01,2.324359e-01,2.361512e+00,4.769604e-01,2.274915e-01,2.309506e+00
75,4.456635e-01,1.986159e-01,2.269273e+00,4.890900e-01,2.392090e-01,2.446962e+00,4.848261e-01,2.350563e-01,2.372905e+00
76,4.558299e-01,2.077809e-01,2.366978e+00,4.992610e-01,2.492616e-01,2.521172e+00,4.925550e-01,2.426106e-01,2.433835e+00
77,4.660285e-01,2.171826e-01,2.450608e+00,5.114491e-01,2.615802e-01,2.571143e+00,5.053432e-01,2.553718e-01,2.516733e+00
78,4.746792e-01,2.253203e-01,2.520234e+00,5.215870e-01,2.720533e-01,2.621859e+00,5.162897e-01,2.665550e-01,2.590860e+00
79,4.827718e-01,2.330686e-01,2.595961e+00,5.357354e-01,2.870129e-01,2.719586e+00,5.250652e-01,2.756934e-01,2.642231e+00
80,4.962296e-01,2.462438e-01,2.676380e+00,5.484074e-01,3.007507e-01,2.823898e+00,5.393890e-01,2.909406e-01,2.768247e+00
81,5.076992e-01,2.577585e-01,2.761235e+00,5.634597e-01,3.174868e-01,2.953787e+00,5.492834e-01,3.017123e-01,2.861884e+00
82,5.194593e-01,2.698379e-01,2.850558e+00,5.750204e-01,3.306485e-01,3.044557e+00,5.581084e-01,3.114850e-01,2.962054e+00
83,5.343769e-01,2.855587e-01,2.959172e+00,5.855087e-01,3.428205e-01,3.122723e+00,5.704740e-01,3.254406e-01,3.022750e+00
84,5.462646e-01,2.984050e-01,3.108382e+00,5.937717e-01,3.525648e-01,3.211861e+00,5.828006e-01,3.396566e-01,3.162235e+00
85,5.662174e-01,3.206022e-01,3.246377e+00,6.076111e-01,3.691965e-01,3.355891e+00,6.047953e-01,3.657773e-01,3.281718e+00
86,5.816563e-01,3.383240e-01,3.367807e+00,6.263658e-01,3.923343e-01,3.466261e+00,6.204521e-01,3.849608e-01,3.393304e+00
87,5.993119e-01,3.591748e-01,3.491857e+00,6.432864e-01,4.138176e-01,3.571804e+00,6.308774e-01,3.980063e-01,3.524662e+00
88,6.189272e-01,3.830709e-01,3.624055e+00,6.590492e-01,4.343461e-01,3.795186e+00,6.534586e-01,4.270081e-01,3.682557e+00
89,6.368613e-01,4.055923e-01,3.791598e+00,6.840678e-01,4.679541e-01,4.028388e+00,6.771257e-01,4.584994e-01,3.821249e+00
90,6.597048e-01,4.352104e-01,3.994867e+00,7.117970e-01,5.066551e-01,4.239847e+00,6.986279e-01,4.880811e-01,3.964415e+00
91,6.789419e-01,4.609621e-01,4.258787e+00,7.288145e-01,5.311709e-01,4.394476e+00,7.253395e-01,5.261201e-01,4.114293e+00
92,7.050482e-01,4.970931e-01,4.544690e+00,7.648730e-01,5.850308e-01,4.741628e+00,7.485566e-01,5.603370e-01,4.308342e+00
93,7.332822e-01,5.377033e-01,4.823019e+00,8.127185e-01,6.605185e-01,5.127200e+00,7.779556e-01,6.052149e-01,4.698594e+00
94,7.734172e-01,5.981742e-01,5.177634e+00,8.682601e-01,7.538760e-01,5.461322e+00,8.123540e-01,6.599190e-01,5.082135e+00
95,8.118685e-01,6.591304e-01,5.599188e+00,9.072575e-01,8.231162e-01,6.066207e+00,8.518095e-01,7.255796e-01,5.665433e+00
96,8.622315e-01,7.434432e-01,6.122272e+00,9.497458e-01,9.020171e-01,6.752675e+00,8.910362e-01,7.939561e-01,6.301065e+00
97,9.260828e-01,8.576293e-01,7.113623e+00,1.036914e+00,1.075604e+00,8.018828e+00,9.654612e-01,9.321154e-01,7.274717e+00
98,1.015054e+00,1.030336e+00,8.503447e+00,1.159253e+00,1.343883e+00,9.161057e+00,1.060041e+00,1.123711e+00,8.746030e+00
99,1.207262e+00,1.457480e+00,1.185733e+01,1.440514e+00,2.076078e+00,1.157730e+01,1.218321e+00,1.484341e+00,1.031532e+01
