percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
1,3.481979e-03,1.212427e-05,2.342926e-02,3.933716e-03,1.547414e-05,2.980816e-02,2.934265e-03,8.624790e-06,2.624387e-02
2,6.861763e-03,4.708381e-05,5.248081e-02,6.837959e-03,4.676159e-05,5.181331e-02,6.357841e-03,4.042470e-05,5.684789e-02
3,1.004456e-02,1.008940e-04,7.829558e-02,1.021282e-02,1.043101e-04,8.366544e-02,9.963531e-03,9.927206e-05,8.675006e-02
4,1.295660e-02,1.678736e-04,1.063373e-01,1.473541e-02,2.171436e-04,1.279072e-01,1.291260e-02,1.667370e-04,1.223060e-01
5,1.691246e-02,2.860331e-04,1.310667e-01,1.914771e-02,3.666348e-04,1.512343e-01,1.613510e-02,2.603463e-04,1.399218e-01
6,2.085608e-02,4.349993e-04,1.546078e-01,2.146156e-02,4.606027e-04,1.859367e-01,1.869873e-02,3.496562e-04,1.649167e-01
7,2.351219e-02,5.528238e-04,1.791920e-01,2.522026e-02,6.360952e-04,2.255650e-01,2.165713e-02,4.690318e-04,1.916441e-01
8,2.627487e-02,6.903690e-04,2.069878e-01,2.914467e-02,8.494122e-04,2.432116e-01,2.480957e-02,6.155189e-04,2.161539e-01
9,2.939409e-02,8.640129e-04,2.293987e-01,3.278481e-02,1.074845e-03,2.614514e-01,2.893507e-02,8.372386e-04,2.481603e-01
10,3.333464e-02,1.111199e-03,2.525698e-01,3.740005e-02,1.398776e-03,2.844200e-01,3.333368e-02,1.111137e-03,2.894112e-01
11,3.543205e-02,1.255430e-03,2.743036e-01,4.082619e-02,1.666794e-03,3.180119e-01,3.642044e-02,1.326455e-03,3.268308e-01
12,3.792908e-02,1.438615e-03,3.004474e-01,4.271718e-02,1.824763e-03,3.397207e-01,3.976440e-02,1.581211e-03,3.451235e-01
13,4.075769e-02,1.661190e-03,3.267041e-01,4.747356e-02,2.253741e-03,3.690586e-01,4.237921e-02,1.796052e-03,3.800948e-01
