percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
1,3.407478e-05,1.161095e-09,1.299569e-02,3.877401e-05,1.510059e-09,1.418218e-02,5.275846e-05,2.783806e-09,1.898167e-02
2,7.701993e-05,5.932072e-09,2.957828e-02,8.981586e-05,8.066923e-09,3.218283e-02,9.823918e-05,9.651078e-09,3.855963e-02
3,1.201189e-04,1.442854e-08,4.843940e-02,1.351428e-04,1.826733e-08,4.705954e-02,1.513213e-04,2.289814e-08,6.120717e-02
4,1.655293e-04,2.740011e-08,6.271058e-02,1.753020e-04,3.073084e-08,6.285798e-02,1.939470e-04,3.761590e-08,7.967450e-02
5,2.061248e-04,4.248760e-08,8.218508e-02,2.086401e-04,4.353085e-08,7.733021e-02,2.275810e-04,5.179317e-08,9.964206e-02
6,2.542239e-04,6.462982e-08,1.002920e-01,2.487099e-04,6.185737e-08,9.029164e-02,3.030133e-04,9.181712e-08,1.172856e-01
7,2.953470e-04,8.723003e-08,1.147431e-01,2.815855e-04,7.929037e-08,1.038514e-01,3.513807e-04,1.234689e-07,1.417509e-01
8,3.287816e-04,1.080973e-07,1.293436e-01,3.352845e-04,1.124242e-07,1.222908e-01,3.841388e-04,1.475636e-07,1.602001e-01
9,3.736675e-04,1.396274e-07,1.418782e-01,3.892809e-04,1.515451e-07,1.420552e-01,4.330084e-04,1.874967e-07,1.730969e-01
10,4.111886e-04,1.690761e-07,1.545239e-01,4.386008e-04,1.923706e-07,1.588342e-01,5.109966e-04,2.611213e-07,1.931415e-01
11,4.597741e-04,2.113923e-07,1.709994e-01,4.721802e-04,2.229558e-07,1.816450e-01,5.464083e-04,2.985632e-07,2.132559e-01
12,5.015606e-04,2.515632e-07,1.886119e-01,5.057538e-04,2.557873e-07,1.971742e-01,6.003940e-04,3.604732e-07,2.278662e-01
13,5.477285e-04,3.000066e-07,2.045256e-01,5.309570e-04,2.819180e-07,2.096702e-01,6.569576e-04,4.315956e-07,2.425297e-01
14,5.905080e-04,3.486997e-07,2.237009e-01,5.844539e-04,3.415913e-07,2.260472e-01,6.961536e-04,4.846300e-07,2.592530e-01
15,6.252766e-04,3.909708e-07,2.400005e-01,6.278157e-04,3.941710e-07,2.436570e-01,7.433623e-04,5.525879e-07,2.810304e-01
16,6.665677e-04,4.443126e-07,2.585034e-01,7.092357e-04,5.030462e-07,2.689718e-01,7.877511e-04,6.205518e-07,2.952218e-01
17,7.152295e-04,5.115533e-07,2.773890e-01,7.635796e-04,5.830576e-07,2.979828e-01,8.719164e-04,7.602566e-07,3.241507e-01
18,7.535207e-04,5.677939e-07,2.911304e-01,8.240622e-04,6.790786e-07,3.124898e-01,9.098279e-04,8.277883e-07,3.507841e-01
19,8.099264e-04,6.559809e-07,3.048160e-01,8.850873e-04,7.833797e-07,3.354595e-01,9.456483e-04,8.942512e-07,3.793496e-01
20,8.568943e-04,7.342693e-07,3.225319e-01,9.226322e-04,8.512543e-07,3.648177e-01,1.012880e-03,1.025930e-06,3.947023e-01
21,8.984697e-04,8.072478e-07,3.460867e-01,9.957016e-04,9.914239e-07,3.913599e-01,1.095399e-03,1.199898e-06,4.120513e-01
22,9.438062e-04,8.907702e-07,3.647894e-01,1.053956e-03,1.110826e-06,4.100710e-01,1.130505e-03,1.278041e-06,4.288819e-01
23,9.903777e-04,9.808479e-07,3.822028e-01,1.126089e-03,1.268077e-06,4.361680e-01,1.165451e-03,1.358276e-06,4.478610e-01
24,1.035433e-03,1.072121e-06,3.981323e-01,1.187634e-03,1.410477e-06,4.548381e-01,1.241131e-03,1.540411e-06,4.641819e-01
25,1.098320e-03,1.206307e-06,4.137286e-01,1.239449e-03,1.536233e-06,4.656746e-01,1.289219e-03,1.662085e-06,4.792411e-01
26,1.137595e-03,1.294123e-06,4.293093e-01,1.287816e-03,1.658471e-06,4.846278e-01,1.343311e-03,1.804488e-06,4.989208e-01
27,1.187055e-03,1.409100e-06,4.448520e-01,1.365070e-03,1.863417e-06,5.092979e-01,1.389834e-03,1.931647e-06,5.208492e-01
28,1.229075e-03,1.510626e-06,4.599623e-01,1.437585e-03,2.066652e-06,5.330055e-01,1.438468e-03,2.069202e-06,5.376292e-01
29,1.276331e-03,1.629021e-06,4.793028e-01,1.500319e-03,2.250965e-06,5.511381e-01,1.493581e-03,2.230785e-06,5.545579e-01
30,1.312375e-03,1.722328e-06,4.946271e-01,1.577047e-03,2.487077e-06,5.690877e-01,1.547146e-03,2.393665e-06,5.771821e-01
31,1.351442e-03,1.826397e-06,5.113839e-01,1.658478e-03,2.750549e-06,5.871713e-01,1.599198e-03,2.557437e-06,6.094708e-01
32,1.400591e-03,1.961656e-06,5.349171e-01,1.713343e-03,2.935546e-06,6.125619e-01,1.655107e-03,2.739378e-06,6.296762e-01
33,1.438909e-03,2.070458e-06,5.509769e-01,1.770711e-03,3.135421e-06,6.359544e-01,1.730851e-03,2.995847e-06,6.515288e-01
34,1.489355e-03,2.218178e-06,5.692475e-01,1.810439e-03,3.277689e-06,6.571028e-01,1.769987e-03,3.132855e-06,6.651687e-01
35,1.528969e-03,2.337748e-06,5.890346e-01,1.890546e-03,3.574169e-06,6.790469e-01,1.839048e-03,3.382112e-06,6.851345e-01
36,1.577934e-03,2.489876e-06,6.079378e-01,1.948729e-03,3.797544e-06,6.973044e-01,1.912627e-03,3.658144e-06,7.063112e-01
37,1.635183e-03,2.673824e-06,6.242858e-01,2.019511e-03,4.078425e-06,7.171975e-01,1.963049e-03,3.853563e-06,7.300886e-01
38,1.696395e-03,2.877755e-06,6.424280e-01,2.052615e-03,4.213229e-06,7.423913e-01,2.010922e-03,4.043809e-06,7.476994e-01
39,1.750338e-03,3.063683e-06,6.583446e-01,2.106470e-03,4.437218e-06,7.719740e-01,2.075993e-03,4.309749e-06,7.649226e-01
40,1.796111e-03,3.226016e-06,6.788951e-01,2.166468e-03,4.693588e-06,8.005273e-01,2.135783e-03,4.561571e-06,7.957304e-01
41,1.838864e-03,3.381421e-06,7.002264e-01,2.258382e-03,5.100324e-06,8.217058e-01,2.167185e-03,4.696691e-06,8.253280e-01
42,1.898997e-03,3.606189e-06,7.165916e-01,2.331452e-03,5.435702e-06,8.529062e-01,2.240094e-03,5.018024e-06,8.503801e-01
43,1.944871e-03,3.782523e-06,7.369338e-01,2.406359e-03,5.790562e-06,8.809494e-01,2.284229e-03,5.217704e-06,8.772483e-01
44,1.999372e-03,3.997489e-06,7.593556e-01,2.434419e-03,5.926398e-06,9.061871e-01,2.338494e-03,5.468559e-06,9.092898e-01
45,2.055073e-03,4.223327e-06,7.819181e-01,2.498007e-03,6.240038e-06,9.303748e-01,2.401733e-03,5.768324e-06,9.385504e-01
46,2.109482e-03,4.449916e-06,8.068040e-01,2.548041e-03,6.492517e-06,9.622315e-01,2.470167e-03,6.101728e-06,9.712842e-01
47,2.176322e-03,4.736377e-06,8.288275e-01,2.605665e-03,6.789489e-06,9.822904e-01,2.547350e-03,6.488992e-06,9.978116e-01
48,2.242241e-03,5.027644e-06,8.525244e-01,2.659245e-03,7.071582e-06,1.004169e+00,2.600757e-03,6.763941e-06,1.019590e+00
49,2.286897e-03,5.229899e-06,8.754575e-01,2.720947e-03,7.403555e-06,1.036007e+00,2.671899e-03,7.139044e-06,1.045723e+00
50,2.337754e-03,5.465093e-06,8.949076e-01,2.793610e-03,7.804258e-06,1.059819e+00,2.732649e-03,7.467373e-06,1.060094e+00
51,2.404211e-03,5.780228e-06,9.171965e-01,2.853326e-03,8.141491e-06,1.077819e+00,2.793088e-03,7.801343e-06,1.091125e+00
52,2.456881e-03,6.036263e-06,9.414782e-01,2.919985e-03,8.526318e-06,1.101989e+00,2.870789e-03,8.241427e-06,1.121924e+00
53,2.518833e-03,6.344518e-06,9.663773e-01,2.996408e-03,8.978460e-06,1.119895e+00,2.937560e-03,8.629258e-06,1.146258e+00
54,2.568048e-03,6.594869e-06,9.925247e-01,3.084550e-03,9.514464e-06,1.151509e+00,2.981955e-03,8.892055e-06,1.170206e+00
55,2.630466e-03,6.919353e-06,1.017757e+00,3.161961e-03,9.998000e-06,1.185397e+00,3.057024e-03,9.345396e-06,1.202939e+00
56,2.697378e-03,7.275851e-06,1.038174e+00,3.231432e-03,1.044216e-05,1.216810e+00,3.151807e-03,9.933885e-06,1.239527e+00
57,2.756245e-03,7.596887e-06,1.062057e+00,3.313018e-03,1.097610e-05,1.262623e+00,3.234394e-03,1.046131e-05,1.267347e+00
58,2.826172e-03,7.987249e-06,1.088421e+00,3.397602e-03,1.154371e-05,1.290779e+00,3.324400e-03,1.105164e-05,1.300531e+00
59,2.877554e-03,8.280315e-06,1.116342e+00,3.477834e-03,1.209533e-05,1.331675e+00,3.397937e-03,1.154597e-05,1.324865e+00
60,2.944702e-03,8.671269e-06,1.145652e+00,3.554249e-03,1.263270e-05,1.356912e+00,3.460842e-03,1.197744e-05,1.359852e+00
61,3.025732e-03,9.155054e-06,1.176070e+00,3.631039e-03,1.318446e-05,1.384130e+00,3.556385e-03,1.264788e-05,1.406283e+00
62,3.085555e-03,9.520649e-06,1.203607e+00,3.703281e-03,1.371429e-05,1.415895e+00,3.627934e-03,1.316190e-05,1.442570e+00
63,3.154975e-03,9.953865e-06,1.228595e+00,3.753628e-03,1.408972e-05,1.450349e+00,3.723664e-03,1.386568e-05,1.468760e+00
64,3.227609e-03,1.041746e-05,1.249285e+00,3.844066e-03,1.477684e-05,1.483499e+00,3.817137e-03,1.457054e-05,1.500015e+00
65,3.306365e-03,1.093205e-05,1.284006e+00,3.949696e-03,1.560010e-05,1.511120e+00,3.907324e-03,1.526719e-05,1.522723e+00
66,3.377784e-03,1.140943e-05,1.311845e+00,4.049668e-03,1.639983e-05,1.539241e+00,4.015517e-03,1.612444e-05,1.558689e+00
67,3.459839e-03,1.197048e-05,1.340854e+00,4.136024e-03,1.710671e-05,1.586197e+00,4.087074e-03,1.670418e-05,1.594830e+00
68,3.548791e-03,1.259392e-05,1.372569e+00,4.199662e-03,1.763716e-05,1.614313e+00,4.205697e-03,1.768788e-05,1.634089e+00
69,3.610972e-03,1.303912e-05,1.405036e+00,4.285792e-03,1.836802e-05,1.645587e+00,4.273308e-03,1.826117e-05,1.668613e+00
70,3.700823e-03,1.369609e-05,1.433685e+00,4.348475e-03,1.890925e-05,1.682024e+00,4.385811e-03,1.923534e-05,1.710214e+00
71,3.801315e-03,1.445000e-05,1.477467e+00,4.443486e-03,1.974457e-05,1.711917e+00,4.492320e-03,2.018094e-05,1.764845e+00
72,3.890197e-03,1.513363e-05,1.517993e+00,4.584650e-03,2.101906e-05,1.771313e+00,4.599191e-03,2.115256e-05,1.806534e+00
73,4.008515e-03,1.606819e-05,1.564203e+00,4.676278e-03,2.186757e-05,1.794352e+00,4.713562e-03,2.221778e-05,1.833012e+00
74,4.095389e-03,1.677221e-05,1.599328e+00,4.827902e-03,2.330864e-05,1.839094e+00,4.836748e-03,2.339416e-05,1.896340e+00
75,4.203975e-03,1.767341e-05,1.631269e+00,4.960626e-03,2.460781e-05,1.888159e+00,4.959524e-03,2.459690e-05,1.928646e+00
76,4.308692e-03,1.856483e-05,1.677697e+00,5.068063e-03,2.568526e-05,1.944180e+00,5.089970e-03,2.590784e-05,1.987677e+00
77,4.391606e-03,1.928620e-05,1.720059e+00,5.175911e-03,2.679006e-05,1.986930e+00,5.209667e-03,2.714065e-05,2.042845e+00
78,4.480523e-03,2.007509e-05,1.762048e+00,5.398856e-03,2.914766e-05,2.056629e+00,5.368003e-03,2.881564e-05,2.103459e+00
79,4.576385e-03,2.094330e-05,1.815851e+00,5.564976e-03,3.096896e-05,2.105862e+00,5.495608e-03,3.020172e-05,2.154883e+00
80,4.676598e-03,2.187057e-05,1.871725e+00,5.774105e-03,3.334028e-05,2.160667e+00,5.634987e-03,3.175308e-05,2.230122e+00
81,4.814689e-03,2.318123e-05,1.914142e+00,5.925442e-03,3.511087e-05,2.230155e+00,5.701177e-03,3.250343e-05,2.276664e+00
82,4.955484e-03,2.455683e-05,1.967385e+00,6.107062e-03,3.729621e-05,2.317320e+00,5.852111e-03,3.424721e-05,2.346428e+00
83,5.097569e-03,2.598522e-05,2.019909e+00,6.238883e-03,3.892366e-05,2.404219e+00,5.978682e-03,3.574465e-05,2.400988e+00
84,5.221217e-03,2.726110e-05,2.084885e+00,6.406052e-03,4.103753e-05,2.492188e+00,6.086874e-03,3.705005e-05,2.481663e+00
85,5.364794e-03,2.878101e-05,2.154296e+00,6.547213e-03,4.286601e-05,2.568774e+00,6.261712e-03,3.920904e-05,2.585279e+00
86,5.487367e-03,3.011120e-05,2.231306e+00,6.682178e-03,4.465151e-05,2.680014e+00,6.455371e-03,4.167183e-05,2.660703e+00
87,5.645579e-03,3.187256e-05,2.289070e+00,6.832114e-03,4.667779e-05,2.819517e+00,6.758481e-03,4.567733e-05,2.770300e+00
88,5.833464e-03,3.402930e-05,2.371677e+00,7.001612e-03,4.902258e-05,2.953713e+00,7.117108e-03,5.065322e-05,2.843997e+00
89,6.024914e-03,3.629960e-05,2.460396e+00,7.184908e-03,5.162292e-05,3.080199e+00,7.478857e-03,5.593347e-05,2.998687e+00
90,6.254971e-03,3.912467e-05,2.554943e+00,7.467479e-03,5.576332e-05,3.211371e+00,7.690614e-03,5.914556e-05,3.142003e+00
91,6.465240e-03,4.179932e-05,2.646529e+00,7.837930e-03,6.143316e-05,3.324916e+00,8.109369e-03,6.576188e-05,3.308773e+00
