percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
1,1.625037e-04,2.640748e-08,1.801423e-02,2.178121e-04,4.744220e-08,2.511229e-02,2.515411e-04,6.328520e-08,2.481415e-02
2,2.997971e-04,8.987837e-08,3.159758e-02,3.532481e-04,1.247842e-07,3.918212e-02,4.240704e-04,1.798540e-07,4.071483e-02
3,4.291844e-04,1.841993e-07,4.687526e-02,5.021906e-04,2.522078e-07,5.572203e-02,5.859923e-04,3.433870e-07,6.015786e-02
4,5.501342e-04,3.026476e-07,6.209592e-02,6.919479e-04,4.787930e-07,7.654254e-02,7.595062e-04,5.768875e-07,7.668074e-02
5,6.955266e-04,4.837594e-07,7.806394e-02,8.264661e-04,6.830462e-07,9.495321e-02,9.561539e-04,9.142360e-07,9.394705e-02
6,8.390570e-04,7.040166e-07,9.277240e-02,1.042697e-03,1.087239e-06,1.111603e-01,1.111541e-03,1.235524e-06,1.110616e-01
7,9.628749e-04,9.271358e-07,1.052926e-01,1.183558e-03,1.400814e-06,1.292005e-01,1.290660e-03,1.665818e-06,1.268472e-01
8,1.108062e-03,1.227809e-06,1.203446e-01,1.278806e-03,1.635345e-06,1.456020e-01,1.406784e-03,1.979060e-06,1.449405e-01
9,1.243367e-03,1.545962e-06,1.358788e-01,1.454656e-03,2.116031e-06,1.597459e-01,1.542560e-03,2.379498e-06,1.613701e-01
10,1.382029e-03,1.910005e-06,1.480849e-01,1.624429e-03,2.638870e-06,1.735956e-01,1.684415e-03,2.837257e-06,1.751328e-01
11,1.503918e-03,2.261770e-06,1.682655e-01,1.766872e-03,3.121839e-06,1.899625e-01,1.823075e-03,3.323925e-06,1.918040e-01
12,1.658666e-03,2.751175e-06,1.819142e-01,1.933622e-03,3.739290e-06,2.030780e-01,1.940565e-03,3.765793e-06,2.018285e-01
13,1.778703e-03,3.163784e-06,1.952702e-01,2.092385e-03,4.378088e-06,2.159119e-01,2.098018e-03,4.401782e-06,2.189123e-01
14,1.901393e-03,3.615295e-06,2.091172e-01,2.262735e-03,5.119975e-06,2.324699e-01,2.198968e-03,4.835461e-06,2.315930e-01
15,2.053213e-03,4.215684e-06,2.234762e-01,2.397680e-03,5.748882e-06,2.508047e-01,2.395451e-03,5.738186e-06,2.449677e-01
16,2.161250e-03,4.671002e-06,2.381245e-01,2.510898e-03,6.304620e-06,2.726760e-01,2.536783e-03,6.435309e-06,2.590875e-01
17,2.301176e-03,5.295412e-06,2.542016e-01,2.624364e-03,6.887293e-06,2.917856e-01,2.698572e-03,7.282290e-06,2.770438e-01
18,2.413588e-03,5.825405e-06,2.691595e-01,2.752004e-03,7.573531e-06,3.085676e-01,2.905545e-03,8.442194e-06,2.906284e-01
19,2.549405e-03,6.499467e-06,2.833839e-01,2.906771e-03,8.449473e-06,3.241093e-01,3.066114e-03,9.401088e-06,3.139860e-01
20,2.700663e-03,7.293579e-06,2.971434e-01,3.125155e-03,9.766594e-06,3.405361e-01,3.225851e-03,1.040612e-05,3.265958e-01
21,2.828903e-03,8.002694e-06,3.139041e-01,3.319130e-03,1.101662e-05,3.596138e-01,3.332422e-03,1.110504e-05,3.456811e-01
22,2.965617e-03,8.794886e-06,3.282628e-01,3.387549e-03,1.147558e-05,3.754293e-01,3.431013e-03,1.177185e-05,3.616769e-01
23,3.084624e-03,9.514905e-06,3.412345e-01,3.572268e-03,1.276110e-05,3.947045e-01,3.595412e-03,1.292700e-05,3.752837e-01
24,3.200488e-03,1.024312e-05,3.593609e-01,3.749158e-03,1.405619e-05,4.146674e-01,3.741474e-03,1.399863e-05,3.929546e-01
25,3.353417e-03,1.124541e-05,3.754578e-01,3.949165e-03,1.559591e-05,4.317398e-01,3.896028e-03,1.517907e-05,4.069075e-01
26,3.482728e-03,1.212939e-05,3.910350e-01,4.104869e-03,1.684996e-05,4.503753e-01,4.046404e-03,1.637339e-05,4.209962e-01
27,3.612070e-03,1.304705e-05,4.061629e-01,4.244447e-03,1.801533e-05,4.618234e-01,4.214785e-03,1.776441e-05,4.385184e-01
28,3.764548e-03,1.417183e-05,4.221873e-01,4.317362e-03,1.863962e-05,4.823143e-01,4.407983e-03,1.943033e-05,4.517267e-01
29,3.921251e-03,1.537621e-05,4.362069e-01,4.460735e-03,1.989818e-05,5.053098e-01,4.543937e-03,2.064737e-05,4.692534e-01
30,4.053175e-03,1.642823e-05,4.520294e-01,4.639697e-03,2.152693e-05,5.310399e-01,4.747808e-03,2.254172e-05,4.858555e-01
