percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
1,2.816315e-03,7.931715e-06,4.510795e-03,1.864014e-03,3.491342e-06,2.953094e-03,2.662125e-03,7.089654e-06,4.333819e-03
2,4.948883e-03,2.449248e-05,7.921950e-03,6.043701e-03,3.655264e-05,9.656771e-03,4.248810e-03,1.805270e-05,6.838436e-03
3,7.377625e-03,5.443100e-05,1.163807e-02,8.706055e-03,7.580298e-05,1.351243e-02,6.101532e-03,3.722886e-05,1.007822e-02
4,8.880615e-03,7.886533e-05,1.424250e-02,1.177719e-02,1.387076e-04,1.872250e-02,9.285889e-03,8.622800e-05,1.479469e-02
5,1.100006e-02,1.210015e-04,1.749542e-02,1.439514e-02,2.073029e-04,2.305179e-02,1.131516e-02,1.280328e-04,1.846760e-02
6,1.313049e-02,1.724099e-04,2.093431e-02,1.675385e-02,2.806914e-04,2.681438e-02,1.359512e-02,1.848491e-04,2.206886e-02
7,1.504883e-02,2.264675e-04,2.404852e-02,1.919861e-02,3.685967e-04,3.022585e-02,1.637703e-02,2.682071e-04,2.608695e-02
8,1.724243e-02,2.973014e-04,2.741866e-02,2.229111e-02,4.969036e-04,3.584712e-02,1.877029e-02,3.523482e-04,3.046199e-02
9,1.879227e-02,3.531493e-04,3.003810e-02,2.653549e-02,7.041376e-04,4.278150e-02,2.116844e-02,4.481052e-04,3.422389e-02
10,2.099228e-02,4.406758e-04,3.318561e-02,2.869415e-02,8.233553e-04,4.594592e-02,2.461243e-02,6.057716e-04,3.956566e-02
11,2.261978e-02,5.116552e-04,3.606907e-02,3.199524e-02,1.023696e-03,4.974715e-02,2.785896e-02,7.761228e-04,4.441965e-02
12,2.454773e-02,6.025910e-04,3.919924e-02,3.465729e-02,1.201129e-03,5.523774e-02,3.008514e-02,9.051160e-04,4.848887e-02
13,2.688965e-02,7.230532e-04,4.284950e-02,3.647186e-02,1.330200e-03,5.854864e-02,3.244995e-02,1.053000e-03,5.296019e-02
14,2.914963e-02,8.497008e-04,4.642394e-02,3.940994e-02,1.553222e-03,6.205145e-02,3.524567e-02,1.242280e-03,5.653783e-02
15,3.091202e-02,9.555529e-04,4.933721e-02,4.187469e-02,1.753490e-03,6.666384e-02,3.820457e-02,1.459590e-03,6.121115e-02
16,3.345123e-02,1.118985e-03,5.334127e-02,4.563492e-02,2.082547e-03,7.222571e-02,4.088303e-02,1.671440e-03,6.631698e-02
17,3.570618e-02,1.274932e-03,5.673274e-02,4.954041e-02,2.454291e-03,7.878233e-02,4.418304e-02,1.952164e-03,7.087970e-02
18,3.777191e-02,1.426717e-03,6.022376e-02,5.183105e-02,2.686458e-03,8.335431e-02,4.690521e-02,2.200102e-03,7.602090e-02
19,4.030518e-02,1.624508e-03,6.448268e-02,5.573502e-02,3.106418e-03,8.838784e-02,5.021164e-02,2.521209e-03,8.040997e-02
20,4.277878e-02,1.830024e-03,6.850479e-02,5.832367e-02,3.401662e-03,9.249107e-02,5.358429e-02,2.871276e-03,8.538744e-02
21,4.496490e-02,2.021843e-03,7.139902e-02,6.001770e-02,3.602126e-03,9.539604e-02,5.654785e-02,3.197660e-03,8.958759e-02
22,4.700684e-02,2.209644e-03,7.498851e-02,6.345505e-02,4.026554e-03,1.019525e-01,5.827866e-02,3.396405e-03,9.401048e-02
23,4.905670e-02,2.406560e-03,7.832470e-02,6.510406e-02,4.238539e-03,1.048723e-01,6.064407e-02,3.677704e-03,9.821779e-02
24,5.122498e-02,2.623998e-03,8.173917e-02,6.773621e-02,4.588218e-03,1.077330e-01,6.378220e-02,4.068191e-03,1.044761e-01
25,5.341721e-02,2.853398e-03,8.510757e-02,6.998444e-02,4.897821e-03,1.120604e-01,6.825447e-02,4.658730e-03,1.093565e-01
26,5.561035e-02,3.092511e-03,8.857637e-02,7.265106e-02,5.278196e-03,1.158466e-01,7.141785e-02,5.100517e-03,1.159565e-01
27,5.799622e-02,3.363561e-03,9.197556e-02,7.535416e-02,5.678249e-03,1.198968e-01,7.414268e-02,5.497139e-03,1.187795e-01
28,6.005493e-02,3.606595e-03,9.569231e-02,7.725098e-02,5.967713e-03,1.217692e-01,7.565521e-02,5.723721e-03,1.227758e-01
29,6.241882e-02,3.896110e-03,9.971833e-02,7.890488e-02,6.225979e-03,1.258606e-01,7.915222e-02,6.265182e-03,1.266377e-01
