percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
1,1.056004e-04,1.115144e-08,1.561503e-02,1.515985e-04,2.298211e-08,2.155228e-02,9.066105e-05,8.219454e-09,1.307972e-02
2,2.016854e-04,4.067704e-08,3.030218e-02,2.384782e-04,5.687219e-08,3.742113e-02,1.838493e-04,3.380067e-08,2.490856e-02
3,2.771521e-04,7.681332e-08,4.098015e-02,3.452373e-04,1.192665e-07,5.286499e-02,3.258419e-04,1.061735e-07,4.486328e-02
4,3.621364e-04,1.311432e-07,5.376885e-02,4.618549e-04,2.133136e-07,7.100487e-02,3.901196e-04,1.521969e-07,5.764673e-02
5,4.397869e-04,1.934128e-07,6.597365e-02,5.602479e-04,3.138783e-07,7.880273e-02,5.732656e-04,3.287069e-07,8.180824e-02
6,5.443430e-04,2.963093e-07,7.752726e-02,6.749129e-04,4.555087e-07,9.772623e-02,6.836152e-04,4.673299e-07,9.720487e-02
7,6.196308e-04,3.839428e-07,9.241538e-02,8.158135e-04,6.655567e-07,1.183518e-01,7.854569e-04,6.169480e-07,1.156803e-01
8,7.137585e-04,5.094512e-07,1.055796e-01,9.377766e-04,8.794250e-07,1.362918e-01,8.990312e-04,8.082583e-07,1.303201e-01
9,7.885814e-04,6.218607e-07,1.175983e-01,9.792352e-04,9.589017e-07,1.474338e-01,1.022328e-03,1.045155e-06,1.413749e-01
10,8.690119e-04,7.551817e-07,1.287452e-01,1.075733e-03,1.157224e-06,1.599824e-01,1.126027e-03,1.267937e-06,1.597977e-01
11,9.756827e-04,9.519578e-07,1.429154e-01,1.173248e-03,1.376523e-06,1.718118e-01,1.202585e-03,1.446210e-06,1.745221e-01
12,1.071796e-03,1.148748e-06,1.580481e-01,1.250021e-03,1.562556e-06,1.892098e-01,1.317239e-03,1.735118e-06,1.885681e-01
13,1.179695e-03,1.391681e-06,1.717817e-01,1.353993e-03,1.833302e-06,2.035603e-01,1.452663e-03,2.110262e-06,2.012120e-01
14,1.254301e-03,1.573271e-06,1.874884e-01,1.487916e-03,2.213898e-06,2.181770e-01,1.557164e-03,2.424760e-06,2.174310e-01
15,1.336932e-03,1.787388e-06,1.978324e-01,1.565826e-03,2.451811e-06,2.342552e-01,1.651853e-03,2.728620e-06,2.298551e-01
16,1.420987e-03,2.019206e-06,2.130626e-01,1.702168e-03,2.897423e-06,2.502908e-01,1.732965e-03,3.003275e-06,2.462951e-01
17,1.515896e-03,2.297943e-06,2.279424e-01,1.811104e-03,3.280099e-06,2.698150e-01,1.825120e-03,3.331070e-06,2.622452e-01
18,1.610432e-03,2.593490e-06,2.406157e-01,1.891565e-03,3.578046e-06,2.890016e-01,1.943080e-03,3.775568e-06,2.814506e-01
19,1.695871e-03,2.875980e-06,2.521260e-01,1.986697e-03,3.946966e-06,3.020911e-01,2.068533e-03,4.278827e-06,2.948658e-01
20,1.785743e-03,3.188879e-06,2.650131e-01,2.094364e-03,4.386516e-06,3.169457e-01,2.196944e-03,4.826563e-06,3.098869e-01
21,1.861210e-03,3.464103e-06,2.756116e-01,2.257533e-03,5.096463e-06,3.342782e-01,2.292196e-03,5.254161e-06,3.278601e-01
22,1.930323e-03,3.726146e-06,2.847902e-01,2.378774e-03,5.658565e-06,3.523168e-01,2.410004e-03,5.808132e-06,3.383756e-01
23,2.011566e-03,4.046398e-06,2.963651e-01,2.492919e-03,6.214646e-06,3.720924e-01,2.487803e-03,6.189162e-06,3.519062e-01
24,2.107599e-03,4.441974e-06,3.080594e-01,2.662430e-03,7.088532e-06,3.891217e-01,2.607670e-03,6.799944e-06,3.705199e-01
25,2.174079e-03,4.726621e-06,3.188272e-01,2.789974e-03,7.783956e-06,4.116499e-01,2.724290e-03,7.421771e-06,3.905413e-01
26,2.264938e-03,5.129946e-06,3.327103e-01,2.895474e-03,8.383792e-06,4.323046e-01,2.866187e-03,8.215033e-06,4.057496e-01
27,2.334280e-03,5.448863e-06,3.457240e-01,3.010089e-03,9.060638e-06,4.451217e-01,2.974452e-03,8.847364e-06,4.192303e-01
28,2.424972e-03,5.880490e-06,3.604206e-01,3.179934e-03,1.011198e-05,4.636823e-01,3.087971e-03,9.535569e-06,4.349621e-01
29,2.511206e-03,6.306154e-06,3.717979e-01,3.312984e-03,1.097586e-05,4.843307e-01,3.168620e-03,1.004015e-05,4.496869e-01
30,2.603495e-03,6.778187e-06,3.833209e-01,3.432798e-03,1.178411e-05,4.981612e-01,3.265107e-03,1.066094e-05,4.730789e-01
31,2.699940e-03,7.289678e-06,3.990750e-01,3.557701e-03,1.265724e-05,5.189091e-01,3.397273e-03,1.154146e-05,4.875728e-01
32,2.800584e-03,7.843270e-06,4.161635e-01,3.677847e-03,1.352656e-05,5.374311e-01,3.536844e-03,1.250927e-05,5.064385e-01
33,2.884667e-03,8.321303e-06,4.280229e-01,3.807652e-03,1.449821e-05,5.572571e-01,3.658304e-03,1.338319e-05,5.219971e-01
34,2.963428e-03,8.781908e-06,4.418472e-01,3.926759e-03,1.541944e-05,5.741287e-01,3.790944e-03,1.437125e-05,5.387544e-01
35,3.057706e-03,9.349570e-06,4.534462e-01,4.074967e-03,1.660536e-05,5.902016e-01,3.902143e-03,1.522673e-05,5.542968e-01
36,3.151302e-03,9.930707e-06,4.646755e-01,4.244342e-03,1.801462e-05,6.089121e-01,4.033864e-03,1.627206e-05,5.706348e-01
37,3.248749e-03,1.055437e-05,4.782359e-01,4.374368e-03,1.913531e-05,6.271361e-01,4.133127e-03,1.708274e-05,5.871160e-01
38,3.339620e-03,1.115306e-05,4.921163e-01,4.478164e-03,2.005395e-05,6.567362e-01,4.252374e-03,1.808269e-05,6.128466e-01
39,3.429332e-03,1.176032e-05,5.037246e-01,4.609251e-03,2.124522e-05,6.749240e-01,4.351896e-03,1.893906e-05,6.383434e-01
40,3.519666e-03,1.238805e-05,5.186619e-01,4.816854e-03,2.320208e-05,7.000680e-01,4.513133e-03,2.036837e-05,6.572155e-01
41,3.614666e-03,1.306582e-05,5.325288e-01,4.946024e-03,2.446316e-05,7.253133e-01,4.709682e-03,2.218118e-05,6.737312e-01
42,3.719316e-03,1.383331e-05,5.466090e-01,5.059628e-03,2.559993e-05,7.456473e-01,4.911146e-03,2.411937e-05,6.932648e-01
