percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
1,9.500027e-05,9.025758e-09,5.723637e-03,1.102161e-04,1.214931e-08,6.848161e-03,1.068377e-04,1.143627e-08,6.726442e-03
2,1.956844e-04,3.829241e-08,1.200067e-02,2.488327e-04,6.192506e-08,1.392410e-02,2.129936e-04,4.537530e-08,1.325895e-02
3,2.847576e-04,8.108815e-08,1.789050e-02,3.746796e-04,1.403907e-07,2.343055e-02,3.258705e-04,1.061918e-07,1.971641e-02
4,3.947449e-04,1.558235e-07,2.436281e-02,4.861879e-04,2.363788e-07,3.155509e-02,4.753160e-04,2.259291e-07,2.957821e-02
5,4.813433e-04,2.316916e-07,2.986414e-02,6.027699e-04,3.633539e-07,3.844491e-02,6.362200e-04,4.047833e-07,3.877245e-02
6,5.618382e-04,3.156621e-07,3.445239e-02,8.405542e-04,7.066376e-07,4.942615e-02,7.433414e-04,5.525566e-07,4.376849e-02
7,6.395912e-04,4.090774e-07,4.060667e-02,9.016752e-04,8.130211e-07,5.598465e-02,8.241987e-04,6.793058e-07,5.083748e-02
8,7.336092e-04,5.381828e-07,4.485722e-02,9.960032e-04,9.920890e-07,6.167838e-02,9.806919e-04,9.617570e-07,6.156671e-02
9,8.328152e-04,6.935825e-07,5.070311e-02,1.100793e-03,1.211750e-06,6.704157e-02,1.072338e-03,1.149928e-06,6.658408e-02
10,9.274006e-04,8.600726e-07,5.713495e-02,1.192713e-03,1.422564e-06,7.289812e-02,1.216555e-03,1.480070e-06,7.416568e-02
11,1.019387e-03,1.039150e-06,6.318829e-02,1.348982e-03,1.819756e-06,8.039403e-02,1.323507e-03,1.751674e-06,8.076964e-02
12,1.125951e-03,1.267766e-06,6.881352e-02,1.503944e-03,2.261850e-06,9.124636e-02,1.422586e-03,2.023753e-06,8.617400e-02
13,1.218777e-03,1.485417e-06,7.485162e-02,1.634374e-03,2.671181e-06,1.010728e-01,1.530917e-03,2.343716e-06,9.229376e-02
14,1.314840e-03,1.728805e-06,8.143703e-02,1.758146e-03,3.091079e-06,1.085233e-01,1.643462e-03,2.700968e-06,9.793682e-02
15,1.404905e-03,1.973759e-06,8.704346e-02,1.870537e-03,3.498914e-06,1.153656e-01,1.774490e-03,3.148826e-06,1.059500e-01
16,1.503119e-03,2.259369e-06,9.444576e-02,1.994824e-03,3.979328e-06,1.216139e-01,1.891451e-03,3.577587e-06,1.168071e-01
17,1.643252e-03,2.700279e-06,1.007118e-01,2.112446e-03,4.462429e-06,1.290018e-01,2.060773e-03,4.246787e-06,1.273295e-01
18,1.749072e-03,3.059254e-06,1.074917e-01,2.208891e-03,4.879214e-06,1.397931e-01,2.243986e-03,5.035474e-06,1.379384e-01
