#CASE,DOF_ALFAIN_BC_,DOF_PITCH_BC_,DOF_RE2IS_BC_,DOF_MA2IS_BC_,DOF_ARATIO_BC_,DOF_BETA1_G0_,DOF_BETA2_G0_,DOF_W1_G0_,DOF_W2_G0_,DOF_RTE_G1_,DOF_TMAXU_G1_,DOF_TMAXL_G1_,DOF_TMOVXU_G1_,DOF_TMOVXL_G1_,DOF_TUCP2_G2_,DOF_TUCP3_G2_,DOF_SUCP3_G2_,DOF_TUCP5_G2_,DOF_SUCP5_G2_,DOF_TLCP5_G2_,DOF_SLCP5_G2_,OF_alfa_ex_FL_OP_01,OF_Cpt_FL_OP_01,OF_CSI_FL_OP_01,OF_phi_FL_OP_01,OF_psi_FL_OP_01,OF_Zwc_FL_OP_01,OF_DFss_mis_LO_OP_01,OF_Ds_cp_LO_OP_01,OF_Tmax_GM_OP_01,OF_X_Tmax_GM_OP_01,OF_Wedge_TE_GM_OP_01,OF_UGT_GM_OP_01,OF_Area_GM_OP_01
38611,25,0.07,180000,0.7,1.1,24.1845738,-66.4165,0.2277344,0.6782227,0.001031982,0.008024414,0.007362061,0.02038574,0.1851318,0.3465039,0.8443652,0.167832,0.3010254,0.6966553,0.456543,0.5596924,-61.961,0.04904,0.04368,0.6915425299,1.596938716,1.276198083,1.3533,0.7537,0.0134330653,0.292160124,5.23549986,24.7330494,0.00110708852
38774,22.074,0.106885894,250550.0,0.50126,1.204169,15.252681,-69.4115,0.3858398,0.01306152,0.001178137,0.008586182,0.0100473,-0.1039001,-0.1288513,0.3567822,0.7328979,0.1631299,0.482605,0.6418152,0.3740967,0.6940613,-60.386,0.03582,0.03253,0.7386681543,1.599103281,1.347257003,1.3735,0.8769,0.016064154,0.170215055,6.31141329,32.2577324,0.00128313398
38927,24.586,0.05714358843,229450.0,0.57389,1.334357,33.536375,-62.62317,0.6661133,0.5299072,0.001130212,0.00699292,0.003659973,0.1005798,0.1670593,0.3573193,0.6398462,0.1557764,0.6343384,0.6632385,0.5162354,0.6018372,-60.085,0.04837,0.04273,0.7809693367,1.714649756,0.8608424056,1.1727,1.9144,0.00918836519,0.385735065,6.78789043,23.5860519,0.000767785532
39024,21.76,0.08149008314,187020.0,0.53577,1.320926,29.784542,-64.40948,0.5884277,0.07281494,0.001241217,0.01478943,0.003737946,0.04723816,-0.101828,0.3106763,0.8328845,0.09361572,0.4981995,0.5915985,0.4858276,0.5182648,-60.702,0.0452,0.04053,0.7230851815,1.577256071,1.135337412,1.291,0.7016,0.0162525438,0.242935061,8.156337554,26.64748,0.00131403795
39108,23.268,0.08674430037,118920.0,0.46717,1.383987,11.8988,-66.86896,0.2864746,0.734436,0.001700153,0.00649939,0.004019928,-0.139212,0.06753235,0.3342114,0.6196912,0.1537915,0.4339905,0.6285858,0.4161987,0.5982208,-63.831,0.11441,0.10585,0.6230370605,1.535819479,1.203439572,1.2755,0.612,0.00869733933,0.209414959,1.070441742,23.9477692,0.000786170247
39131,26.413,0.09955496384,173640.0,0.64393,1.393655,4.34021,-65.53107,0.7255371,0.9199829,0.001377692,0.01061267,0.005011139,0.07338562,0.02446594,0.4447583,0.7094958,0.1301196,0.6517639,0.5382538,0.3822144,0.74617,-62.175,0.15388,0.13388,0.7153191928,1.710579697,1.484219064,1.4651,0.9021,0.0135223763,0.320540041,7.13434458,28.1151943,0.00116773846
39178,26.054,0.06107107232,134470.0,0.62232,1.209634,30.397342,-68.35993,0.5050293,0.7571411,0.0008701965,0.004398315,0.008928986,0.07176208,-0.09097595,0.417854,0.8303796,0.1974146,0.4360657,0.7024994,0.3705444,0.5359039,-61.472,0.04888,0.04228,0.7403422619,1.723906372,0.7523326783,1.1614,1.7974,0.0109136226,0.197340026,3.99800598,26.1272812,0.000818540924
39193,20.839,0.07199201101,93940.0,0.69556,1.289615,26.823117,-67.76422,0.5815918,0.1809692,0.001715704,0.007495972,0.01156082,0.04510193,0.1175201,0.3549634,0.6589343,0.1128052,0.5718079,0.6912689,0.5248413,0.5822906,-61.64,0.07417,0.06226,0.6793903196,1.517210971,0.8732002568,1.2642,2.1936,0.0165972989,0.325374901,9.95677614,28.9763184,0.00137036364
39200,28.378,0.07052366566,99980.0,0.81861,1.326529,35.768437,-59.666566,0.0409668,0.02081299,0.001345001,0.007191284,0.01121902,0.1531097,-0.124472,0.4057446,0.6396375,0.09827393,0.3276672,0.543808,0.4053101,0.6945953,-62.102,0.06352,0.04994,0.7414938152,1.801112673,0.9224704338,1.2372,0.3858,0.0146890925,0.234375,5.3269732,13.4301319,0.00120368111
39217,27.104,0.07316268458,75000.0,0.53809,1.39794,-1.61926,-55.30962961,0.7124512,0.2771606,0.001067609,0.01647156,0.006237335,0.1768646,0.1911774,0.4236157,0.8673035,0.1379419,0.5310364,0.5036469,0.4098999,0.508194,-60.653,0.10596,0.09556,0.7894248968,1.808077351,1.233352131,1.7022,1.5356,0.0204772465,0.370240062,11.8107276,8.9629221,0.00158627913
