Unnamed: 0,#CASE,DOF_PITCH_BC_,DOF_BETA1_GEOM_,DOF_BETA2_GEOM_,DOF_W1_GEOM_,DOF_W2_GEOM_,DOF_TMOVXU_GEOM_,DOF_TMOVXL_GEOM_,OF_alfa_ex_OP_01,OF_Cpt_OP_01,OF_CSI_OP_01,OF_phi_OP_01,OF_psi_OP_01,OF_Zwi_OP_01,OF_Zwc_OP_01,OF_DFss_mis_OP_01,OF_DFss_cp_OP_01,OF_Mis_peak_OP_01,OF_s_peak_OP_01,OF_s_diff_dim_OP_01,OF_s_tot_SS_OP_01,OF_Tmax_OP_01,OF_X_Tmax_OP_01
0,15,0.09310837069,13.75,-66.875,0.15,0.0625,0.090625,-0.128125,-62.953,0.02546,0.02377,0.561069644,1.197863433,0.8246467668,0.7883488458,1.2084,0.955,0.465,0.6834,0.04658,0.1471,0.0119743124,0.255999923
1,33,0.1175900865,2.1875,-69.21875,0.1625,0.140625,0.04140625,0.09609375,-62.94,0.02693,0.02514,0.5614151361,1.197985272,1.042273198,0.9963926756,1.2652,0.9431,0.4809,0.6033,0.06147,0.1549,0.0123005481,0.269335061
2,39,0.1191170355,9.6875,-65.46875,0.0625,0.515625,0.08515625,0.05234375,-61.312,0.02323,0.02168,0.6056498962,1.213584835,1.104231393,1.055419783,1.2825,0.9386,0.4898,0.5156,0.07421,0.1532,0.0123134842,0.28294012
3,83,0.0883567316,18.28125,-66.01562,0.19375,0.2734375,0.01132812,-0.1417969,-61.117,0.02636,0.02461,0.6110822465,1.215500575,0.8219906784,0.785633851,1.1918,0.9577,0.4651,0.7059,0.04211,0.1432,0.0121198483,0.213500068
4,97,0.1023134316,8.59375,-61.48438,0.00625,0.9765625,0.1371094,-0.1144531,-63.89,0.02864,0.02674,0.5364733346,1.189189447,0.8825396452,0.8437935068,1.1273,0.97,0.4604,0.4718,0.08533,0.1616,0.0118996138,0.278375
5,125,0.1120536795,5.46875,-68.67188,0.18125,0.4453125,-0.04882812,0.07148437,-62.135,0.02435,0.02273,0.5830436492,1.205612653,1.01582874,0.9710185709,1.236,0.9489,0.4744,0.6421,0.05469,0.1528,0.0122074289,0.217614964
6,133,0.09603226266,18.20312,-66.83594,0.071875,0.04296875,0.1822266,0.004492187,-64.102,0.02504,0.02338,0.5309899817,1.187255721,0.8215738717,0.7855298853,1.2612,0.9442,0.4788,0.6208,0.05661,0.1493,0.0121210823,0.315735072
7,140,0.1154358436,4.453125,-66.21094,0.021875,0.7304688,-0.01464844,-0.06113281,-64.842,0.02598,0.02425,0.5120770811,1.180586011,0.9657555711,0.9234781393,1.1523,0.966,0.4552,0.5457,0.07483,0.1647,0.012301093,0.209414959
8,177,0.09693011084,1.015625,-64.49219,0.034375,0.08984375,0.01269531,-0.04472656,-63.323,0.02691,0.02513,0.551285647,1.194413067,0.8502924933,0.8129033894,1.1368,0.969,0.4537,0.632,0.05638,0.1532,0.0122925257,0.225934893
9,223,0.1020667465,16.48438,-69.72656,0.178125,0.9882812,-0.1212891,-0.05292969,-62.872,0.02563,0.02393,0.5632242577,1.198623266,0.9042761135,0.864464588,1.1937,0.958,0.4615,0.7021,0.04537,0.1523,0.0122683421,0.159039989
10,225,0.08604214005,13.04688,-68.32031,0.365625,0.5664062,-0.06113281,0.04003906,-60.999,0.02656,0.02479,0.6143840124,1.216664956,0.8030159942,0.7674875245,1.2042,0.9551,0.4684,0.7522,0.03516,0.1419,0.0122336047,0.205360055
11,235,0.09007729256,4.296875,-61.44531,0.115625,0.8789062,0.04824219,0.01816406,-60.255,0.02725,0.02545,0.6354594227,1.224097283,0.8582809878,0.8202384574,1.1008,0.9769,0.4445,0.6308,0.05422,0.1469,0.0123138968,0.256000012
12,247,0.1226842655,2.421875,-68.63281,0.090625,0.4101562,-0.1376953,0.1166016,-62.99,0.02522,0.02355,0.5600869675,1.197516888,1.085922109,1.038129105,1.2363,0.9489,0.4739,0.5945,0.06497,0.1602,0.0118375672,0.17781505
13,311,0.0877834183,0.2734375,-66.69922,0.4296875,0.1464844,0.1760742,-0.05908203,-62.278,0.02612,0.02439,0.5791673622,1.204245665,0.7930878495,0.7581143648,1.1938,0.9575,0.4644,0.7159,0.04067,0.1431,0.0119674215,0.306214899
14,324,0.1048178437,9.179688,-63.49609,0.0109375,0.7792969,0.05302734,0.003808594,-63.755,0.02672,0.02495,0.5399805358,1.190426275,0.90749403,0.8676386217,1.1323,0.9698,0.4546,0.5194,0.07652,0.1592,0.0123022897,0.256000102
15,343,0.1227068509,18.55469,-69.43359,0.0359375,0.3730469,0.1077148,0.1459961,-64.174,0.02336,0.02181,0.5291343938,1.18660134,1.046824072,1.000908831,1.3463,0.9279,0.4977,0.5081,0.07827,0.1591,0.0123121981,0.310960025
16,407,0.08799027743,6.757812,-68.06641,0.2328125,0.9160156,0.005175781,0.1665039,-63.492,0.0281,0.02624,0.5468480306,1.192848124,0.7673659262,0.733638005,1.1443,0.9681,0.4505,0.7422,0.03847,0.1492,0.0121635413,0.260415018
17,413,0.086692082,15.50781,-62.44141,0.0828125,0.6035156,0.07080078,-0.1178711,-61.197,0.02706,0.02527,0.608849994,1.214713362,0.8058780235,0.770240244,1.1299,0.9708,0.4495,0.6533,0.05047,0.1456,0.0120500466,0.2472599
18,435,0.1130046947,8.320312,-64.78516,0.0953125,0.6816406,0.06533203,0.09541016,-60.86,0.02367,0.0221,0.6182875385,1.21804155,1.059969122,1.013060707,1.2313,0.9492,0.4765,0.5382,0.06985,0.1513,0.0123147871,0.28294012
19,495,0.1128824293,3.789062,-62.98828,0.0515625,0.9707031,-0.02490234,0.07626953,-61.778,0.0256,0.0239,0.5927868987,1.209048648,1.034350005,0.9886780311,1.1402,0.9681,0.4563,0.433,0.08995,0.1587,0.0122432811,0.230139926
20,499,0.09181163787,1.914062,-67.05078,0.1265625,0.4394531,0.1172852,-0.109668,-65.358,0.02815,0.02629,0.4990918811,1.176006729,0.7551219727,0.7221167028,1.1307,0.9708,0.4487,0.6846,0.04861,0.1541,0.0119628906,0.269335061
21,547,0.09342921861,10.05859,-65.51758,0.05390625,0.07910156,0.1647949,-0.107959,-64.311,0.02616,0.02443,0.5256128993,1.185359471,0.7948863778,0.7600333883,1.1967,0.9568,0.4654,0.6008,0.06009,0.1505,0.0118494453,0.296815038
