#{"t_start": 1781131823.6308963, "env_id": "None"}
r,l,t
-0.010768,20,1.540804
-40.33332,20,1.563804
-17.231494,20,1.588312
-18.495243,20,1.610419
-1.170705,20,1.634312
-3.455788,20,1.657396
-0.523554,20,1.681904
-0.031758,20,1.70601
-0.392259,20,1.732628
-3.551441,20,1.771748
-4.687999,20,1.914471
-27.178144,20,1.939468
-3.52782,20,1.965707
-0.038527,20,1.998634
-0.037632,20,2.043212
-1.747726,20,2.089814
-12.24204,20,2.114036
-0.331074,20,2.139282
-0.338776,20,2.162562
-0.878885,20,2.186379
-2.359555,20,2.365832
-0.521342,20,2.390137
-7.670748,20,2.41429
-1.427636,20,2.438353
-0.44877,20,2.46384
-2.546201,20,2.488424
-1.371442,20,2.513492
-5.913949,20,2.538635
-2.206631,20,2.563053
-2.54727,20,2.583775
-3.534779,20,2.781633
-16.700397,20,2.806853
-0.137083,20,2.829159
-1.846492,20,2.85316
-0.935605,20,2.878825
-0.223871,20,2.900927
-0.210935,20,2.924926
-1.945004,20,2.945932
-1.116269,20,2.970933
-1.350805,20,2.994442
-3.837806,20,3.177466
-0.129362,20,3.206813
-0.731123,20,3.231866
-3.018873,20,3.256
-0.768876,20,3.283831
-8.102558,20,3.3139
